,date,game_key,정대현,김건태,박정준,윤영삼,밴헤켄,박종윤,한현희,신재영,조상우,손동욱,이영준,하영민,김윤환,최원태,김해수,박주현,정용준,김정인,박승주,김홍빈,안현석,유재훈,안정훈,이찬석,김성택,오설리반,브리검,오윤성,김성민,황덕균,마정길,오주원,금민철,이보근,양훈,김상수
48,2017-05-28,20170528SSWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.547169811320755, 0.9056603773584906, 5.428571428571429, 5.3]","[0, 0, 3.0375, 1.0687499999999999, 7.75, 6.666666666666667]","[0, 0, 3.494117647058824, 1.2705882352941178, 4.0, 4.722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.3478260869565215, 0.9130434782608695, 3.0, 1.5333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.448863636363636, 1.1079545454545454, 4.7, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 0.0, 1.2, 0.5, 5.0]","[0, 0, 3.0, 1.3333333333333333, 1.0, 1.5]","[1, 0, 0, 0, 0, 0]","[0, 0, 15.750000000000002, 2.75, 1.0, 2.0]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 1, 4.853932584269662, 1.348314606741573, 4.4, 1.9777777777777779]","[0, 1, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 0, 4.7368421052631575, 1.368421052631579, 6.666666666666667, 1.0555555555555556]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 1, 1.9285714285714284, 1.0714285714285714, 1.625, 0.9824561403508772]"
49,2017-05-30,20170530WOLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.547169811320755, 0.9056603773584906, 5.428571428571429, 5.3]","[0, 0, 3.0375, 1.0687499999999999, 7.75, 6.666666666666667]","[0, 0, 3.494117647058824, 1.2705882352941178, 4.0, 4.722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3478260869565215, 0.9130434782608695, 3.0, 1.5333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.448863636363636, 1.1079545454545454, 4.7, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[1, 0, 2.4545454545454546, 1.5454545454545454, 1.75, 5.5]","[0, 0, 3.0, 1.3333333333333333, 1.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.750000000000002, 2.75, 1.0, 2.0]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 1, 4.989130434782608, 1.4021739130434783, 3.6666666666666665, 1.9166666666666667]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 0, 4.7368421052631575, 1.368421052631579, 6.666666666666667, 1.0555555555555556]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 1, 1.7419354838709677, 0.9677419354838709, 1.875, 1.0333333333333334]"
50,2017-05-31,20170531WOLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.547169811320755, 0.9056603773584906, 5.428571428571429, 5.3]","[0, 0, 3.0375, 1.0687499999999999, 7.75, 6.666666666666667]","[1, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.25, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.448863636363636, 1.1079545454545454, 4.7, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 2.4545454545454546, 1.5454545454545454, 1.75, 5.5]","[0, 0, 3.0, 1.3333333333333333, 1.0, 1.5]","[0, 0, 0, 0, 0, 0]","[0, 1, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 0, 4.989130434782608, 1.4021739130434783, 3.6666666666666665, 1.9166666666666667]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 0, 4.7368421052631575, 1.368421052631579, 6.666666666666667, 1.0555555555555556]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 0, 1.7419354838709677, 0.9677419354838709, 1.875, 1.0333333333333334]"
51,2017-06-01,20170601WOLG0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.745762711864407, 0.9491525423728814, 4.2, 5.363636363636363]","[0, 0, 3.0375, 1.0687499999999999, 7.75, 6.666666666666667]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.25, 1.5, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.448863636363636, 1.1079545454545454, 4.7, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 2.4545454545454546, 1.5454545454545454, 1.75, 5.5]","[0, 1, 2.25, 1.5, 0.6666666666666666, 1.3333333333333333]","[0, 1, 0.0, 1.75, 1.6666666666666667, 4.0]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 0, 4.989130434782608, 1.4021739130434783, 3.6666666666666665, 1.9166666666666667]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 0, 4.7368421052631575, 1.368421052631579, 6.666666666666667, 1.0555555555555556]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 0, 1.7419354838709677, 0.9677419354838709, 1.875, 1.0333333333333334]"
52,2017-06-02,20170602OBWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 1, 0, 0, 0, 0]","[0, 0, 2.745762711864407, 0.9491525423728814, 4.2, 5.363636363636363]","[0, 0, 3.0375, 1.0687499999999999, 7.75, 6.666666666666667]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.1785714285714286, 1.0, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.59278350515464, 1.1288659793814433, 4.545454545454546, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 2.4545454545454546, 1.5454545454545454, 1.75, 5.5]","[0, 0, 2.25, 1.5, 0.6666666666666666, 1.3333333333333333]","[0, 0, 0.0, 1.75, 1.6666666666666667, 4.0]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 0, 4.989130434782608, 1.4021739130434783, 3.6666666666666665, 1.9166666666666667]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 0, 4.7368421052631575, 1.368421052631579, 6.666666666666667, 1.0555555555555556]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 0, 1.7419354838709677, 0.9677419354838709, 1.875, 1.0333333333333334]"
53,2017-06-03,20170603OBWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.745762711864407, 0.9491525423728814, 4.2, 5.363636363636363]","[1, 0, 3.903614457831325, 1.1204819277108433, 7.75, 6.148148148148149]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1785714285714286, 1.0, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.59278350515464, 1.1288659793814433, 4.545454545454546, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 2.4545454545454546, 1.5454545454545454, 1.75, 5.5]","[0, 0, 2.25, 1.5, 0.6666666666666666, 1.3333333333333333]","[0, 0, 0.0, 1.75, 1.6666666666666667, 4.0]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 1, 4.831578947368421, 1.3578947368421053, 3.8333333333333335, 1.8627450980392157]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 1, 4.949999999999999, 1.4, 7.0, 1.0526315789473684]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 1, 1.6615384615384616, 1.0153846153846153, 2.0, 1.0317460317460319]"
54,2017-06-04,20170604OBWO0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.745762711864407, 0.9491525423728814, 4.2, 5.363636363636363]","[0, 0, 3.903614457831325, 1.1204819277108433, 7.75, 6.148148148148149]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1785714285714286, 1.0, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.59278350515464, 1.1288659793814433, 4.545454545454546, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[1, 0, 2.0, 1.1666666666666667, 3.0, 6.0]","[0, 0, 2.25, 1.5, 0.6666666666666666, 1.3333333333333333]","[0, 0, 0.0, 1.75, 1.6666666666666667, 4.0]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 1, 4.636363636363637, 1.3333333333333333, 3.8333333333333335, 1.8333333333333333]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 1, 4.714285714285714, 1.380952380952381, 5.5, 1.05]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 1, 1.588235294117647, 1.0147058823529411, 2.375, 1.0303030303030303]"
55,2017-06-06,20170606WOSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.745762711864407, 0.9491525423728814, 4.2, 5.363636363636363]","[0, 0, 3.903614457831325, 1.1204819277108433, 7.75, 6.148148148148149]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.5588235294117645, 1.588235294117647, 0.42857142857142855, 1.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.59278350515464, 1.1288659793814433, 4.545454545454546, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 2.0, 1.1666666666666667, 3.0, 6.0]","[0, 0, 2.25, 1.5, 0.6666666666666666, 1.3333333333333333]","[1, 0, 0.0, 2.0, 1.5, 2.5]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 0, 4.636363636363637, 1.3333333333333333, 3.8333333333333335, 1.8333333333333333]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 1, 4.56923076923077, 1.523076923076923, 4.6, 1.0317460317460319]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 0, 1.588235294117647, 1.0147058823529411, 2.375, 1.0303030303030303]"
56,2017-06-07,20170607WOSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.046153846153846, 1.0307692307692307, 3.75, 5.416666666666667]","[0, 0, 3.903614457831325, 1.1204819277108433, 7.75, 6.148148148148149]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.5588235294117645, 1.588235294117647, 0.42857142857142855, 1.4166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.59278350515464, 1.1288659793814433, 4.545454545454546, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 2.0, 1.1666666666666667, 3.0, 6.0]","[0, 0, 2.25, 1.5, 0.6666666666666666, 1.3333333333333333]","[0, 0, 0.0, 2.0, 1.5, 2.5]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 1, 5.346534653465347, 1.3960396039603962, 3.8333333333333335, 1.7719298245614035]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 0, 4.56923076923077, 1.523076923076923, 4.6, 1.0317460317460319]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 1, 2.5890410958904106, 1.0684931506849316, 2.5, 1.0579710144927537]"
57,2017-06-08,20170608WOSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.046153846153846, 1.0307692307692307, 3.75, 5.416666666666667]","[0, 0, 3.903614457831325, 1.1204819277108433, 7.75, 6.148148148148149]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.725, 1.5, 0.875, 1.4814814814814816]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.586206896551724, 1.2561576354679802, 3.7857142857142856, 6.151515151515152]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 2.0, 1.1666666666666667, 3.0, 6.0]","[0, 0, 2.25, 1.5, 0.6666666666666666, 1.3333333333333333]","[0, 0, 0.0, 2.0, 1.5, 2.5]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 1, 5.1923076923076925, 1.4134615384615385, 4.0, 1.7333333333333332]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 1, 4.909090909090909, 1.5909090909090908, 4.6, 1.0]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 0, 2.5890410958904106, 1.0684931506849316, 2.5, 1.0579710144927537]"
58,2017-06-09,20170609WOHT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.046153846153846, 1.0307692307692307, 3.75, 5.416666666666667]","[1, 0, 4.278688524590164, 1.2131147540983607, 4.0, 6.1]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.395348837209303, 1.3953488372093024, 0.875, 1.4333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.586206896551724, 1.2561576354679802, 3.7857142857142856, 6.151515151515152]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[0, 0, 2.0, 1.1666666666666667, 3.0, 6.0]","[0, 0, 2.25, 1.5, 0.6666666666666666, 1.3333333333333333]","[0, 0, 0.0, 2.0, 1.5, 2.5]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 0, 5.1923076923076925, 1.4134615384615385, 4.0, 1.7333333333333332]","[0, 0, 5.586206896551724, 2.0172413793103448, 1.3076923076923077, 0.9206349206349206]","[0, 0, 4.909090909090909, 1.5909090909090908, 4.6, 1.0]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 1, 2.486842105263158, 1.0263157894736843, 2.625, 1.0555555555555556]"
59,2017-06-10,20170610WOHT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.0, 2, 2.0]","[0, 0, 2.25, 0.75, 4, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.129411764705883, 1.2, 2.4444444444444446, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.046153846153846, 1.0307692307692307, 3.75, 5.416666666666667]","[0, 0, 4.278688524590164, 1.2131147540983607, 4.0, 6.1]","[0, 0, 5.010309278350515, 1.4536082474226804, 3.5555555555555554, 4.6190476190476195]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.395348837209303, 1.3953488372093024, 0.875, 1.4333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.586206896551724, 1.2561576354679802, 3.7857142857142856, 6.151515151515152]","[0, 0, 0, 0, 0, 0]","[0, 0, 81.0, 12.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 2.0, 2.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.714285714285715, 2.2857142857142856, 3.0, 3.5]","[1, 0, 1.5, 1.2083333333333333, 3.2, 6.0]","[0, 1, 1.8, 1.2, 1.0, 1.25]","[0, 0, 0.0, 2.0, 1.5, 2.5]","[0, 0, 12.6, 2.2, 2.0, 1.6666666666666667]","[0, 0, 8.64, 1.68, 2.0, 1.388888888888889]","[0, 0, 5.1923076923076925, 1.4134615384615385, 4.0, 1.7333333333333332]","[0, 1, 5.142857142857142, 2.0952380952380953, 1.125, 0.9545454545454546]","[0, 0, 4.909090909090909, 1.5909090909090908, 4.6, 1.0]","[0, 0, 4.909090909090909, 1.5454545454545454, 0.6666666666666666, 1.8333333333333333]","[0, 1, 2.7341772151898733, 1.1012658227848102, 2.875, 1.0533333333333332]"
