게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,완투,결과,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP
20170331HHOB0,2017-03-31,OB,HH,0,B,0,W,0,27,129,33,29,4,0,0,0,0,1,1,0,3,0,0,8,0,1,0,0,0,0,0.6,0.857142857,1.2
20170331HHOB0,2017-03-31,HH,OB,0,T,0,L,0,24,134,33,27,4,1,0,0,3,0,0,2,2,0,2,8,0,0,0,0,3,1,0.6,0.45,0.272727273
20170331HTSS0,2017-03-31,SS,HT,0,B,0,L,0,27,180,42,34,7,1,1,3,0,1,0,0,8,0,0,5,0,1,0,0,7,6,2.0,1.363636364,3.428571429
20170331HTSS0,2017-03-31,HT,SS,0,T,0,W,0,27,115,33,31,7,1,0,2,0,0,1,0,1,0,0,7,1,1,0,0,2,2,0.0,0.857142857,1.333333333
20170331KTSK0,2017-03-31,SK,KT,0,B,0,L,0,27,139,37,35,9,2,0,1,0,1,0,0,2,1,0,8,1,0,0,1,3,2,1.2,1.222222222,0.818181818
20170331KTSK0,2017-03-31,KT,SK,0,T,0,W,2,27,130,36,33,8,1,0,0,1,0,1,0,0,0,1,8,1,0,0,0,2,2,1.5,0.8888888890000001,0.272727273
20170331LGWO0,2017-03-31,WO,LG,0,B,0,L,0,27,151,34,31,4,0,0,1,0,0,0,0,3,0,0,10,1,0,0,0,2,1,0.0,0.7777777779999999,1.0
20170331LGWO0,2017-03-31,LG,WO,0,T,0,W,3,27,122,34,30,5,2,1,0,0,0,0,0,4,0,0,6,2,2,0,1,1,1,1.125,1.0,0.818181818
20170331LTNC0,2017-03-31,NC,LT,0,B,0,W,1,27,133,34,33,7,2,0,1,0,1,0,0,0,0,1,8,0,1,0,0,5,3,3.0,0.461538462,1.0
20170331LTNC0,2017-03-31,LT,NC,0,T,0,L,0,24,160,38,32,11,5,0,1,2,2,0,0,4,0,2,9,0,0,0,0,6,5,2.0,1.772727273,3.6
20170401HHOB0,2017-04-01,OB,HH,0,B,0,L,0,33,198,54,44,16,2,0,1,0,0,4,0,6,1,0,8,0,2,0,0,6,6,1.263157895,2.0,1.909090909
20170401HHOB0,2017-04-01,HH,OB,0,T,0,W,0,33,208,49,42,9,0,0,1,1,0,0,1,6,0,0,7,0,1,0,0,5,5,3.0,1.363636364,3.0
20170401HTSS0,2017-04-01,SS,HT,0,B,0,L,0,30,167,49,43,14,2,1,0,0,0,1,1,3,1,1,9,0,0,0,2,9,7,3.0,1.714285714,1.363636364
20170401HTSS0,2017-04-01,HT,SS,0,T,0,W,0,30,182,47,39,10,1,0,1,1,0,1,0,4,1,3,8,0,2,0,0,7,3,2.333333333,0.681818182,1.2
20170401KTSK0,2017-04-01,SK,KT,0,B,0,L,0,27,112,30,30,3,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0.0,0.333333333,0.75
20170401KTSK0,2017-04-01,KT,SK,0,T,0,W,1,27,108,32,32,7,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0.0,0.7777777779999999,0.272727273
20170401LGWO0,2017-04-01,WO,LG,0,B,0,L,0,27,150,39,36,11,5,0,2,1,0,1,0,1,0,1,9,0,0,1,0,8,8,1.5,7.5,0.6
20170401LGWO0,2017-04-01,LG,WO,0,T,0,W,0,27,147,40,37,12,3,0,0,1,0,0,0,2,0,1,9,1,1,0,0,3,3,1.0,3.0,1.666666667
20170401LTNC0,2017-04-01,NC,LT,0,B,0,L,0,27,164,38,32,6,2,0,0,0,0,1,0,4,0,1,11,0,2,0,0,3,3,1.714285714,2.571428571,1.125
20170401LTNC0,2017-04-01,LT,NC,0,T,0,W,1,27,174,38,35,7,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0.0,0.5,1.0
20170402HHOB0,2017-04-02,OB,HH,0,B,0,W,0,36,184,54,44,8,1,1,1,2,0,0,0,7,0,3,9,0,0,0,0,4,4,1.666666667,1.4444444440000002,3.0
20170402HHOB0,2017-04-02,HH,OB,0,T,0,L,0,34,181,46,40,8,0,0,2,0,0,1,0,5,1,0,7,2,0,0,0,5,2,6.0,1.038461538,1.25
20170402HTSS0,2017-04-02,SS,HT,0,B,0,W,0,27,151,40,38,10,3,0,1,0,0,0,0,2,0,0,12,0,0,0,0,3,2,0.666666667,1.0,1.666666667
20170402HTSS0,2017-04-02,HT,SS,0,T,0,L,0,24,191,48,40,17,2,1,2,1,0,1,1,4,0,2,6,1,2,0,0,16,15,3.0,3.75,2.625
20170402KTSK0,2017-04-02,SK,KT,0,B,0,L,0,27,178,46,38,11,1,0,2,1,0,0,1,7,0,0,6,0,0,0,1,8,7,3.0,1.928571429,3.0
20170402KTSK0,2017-04-02,KT,SK,0,T,0,W,0,27,102,28,28,3,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0.0,0.5,0.375
20170402LGWO0,2017-04-02,WO,LG,0,B,0,L,0,27,158,41,36,10,2,0,1,1,1,0,0,5,0,0,9,0,2,0,0,9,9,4.2,1.2,1.0
20170402LGWO0,2017-04-02,LG,WO,0,T,0,W,2,27,136,33,28,3,1,0,0,1,1,0,1,4,0,0,6,0,1,0,0,2,1,1.2,0.666666667,0.6
20170402LTNC0,2017-04-02,NC,LT,0,B,0,L,0,27,170,45,37,13,2,0,5,1,0,0,1,5,0,2,10,1,1,0,0,12,12,1.875,2.307692308,2.25
20170402LTNC0,2017-04-02,LT,NC,0,T,0,W,1,27,149,36,31,4,0,1,0,2,0,0,0,4,0,1,10,1,0,0,0,4,4,1.5,0.6,1.0
20170404NCHH0,2017-04-04,HH,NC,0,B,0,W,0,27,139,34,31,3,1,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0.75,1.0,0.6
20170404NCHH0,2017-04-04,NC,HH,0,T,0,L,0,24,140,37,31,10,3,0,1,0,1,2,0,2,0,2,5,2,1,0,0,6,5,1.090909091,3.0,0.545454545
20170404OBKT0,2017-04-04,KT,OB,0,B,0,L,0,27,147,40,32,8,3,0,0,3,0,0,1,5,0,2,4,1,0,0,0,2,2,1.363636364,1.4444444440000002,2.0
20170404OBKT0,2017-04-04,OB,KT,0,T,0,W,1,27,139,32,30,3,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0.0,0.5555555560000001,0.6
20170404SKHT0,2017-04-04,HT,SK,0,B,0,W,0,27,136,33,29,5,1,0,0,0,1,0,0,4,0,0,10,2,0,0,0,1,1,3.0,1.333333333,1.0
20170404SKHT0,2017-04-04,SK,HT,0,T,0,L,0,24,139,34,29,6,3,0,0,1,0,0,0,3,0,2,4,1,0,0,0,6,5,2.4,1.411764706,1.333333333
20170404SSLG0,2017-04-04,LG,SS,0,B,0,W,0,27,133,37,35,7,0,0,0,0,0,0,0,1,0,1,12,0,1,0,0,0,0,0.0,1.0,0.3
20170404SSLG0,2017-04-04,SS,LG,0,T,0,L,0,24,158,44,41,16,2,0,0,2,0,0,0,2,0,1,5,0,0,0,0,11,6,2.1,6.0,2.25
20170404WOLT0,2017-04-04,LT,WO,0,B,0,W,0,27,130,37,33,9,0,0,1,0,0,0,1,3,0,0,5,1,0,0,0,2,2,1.0,3.0,1.666666667
20170404WOLT0,2017-04-04,WO,LT,0,T,0,L,0,24,111,31,31,9,1,0,2,1,1,0,0,0,0,0,7,1,0,0,0,5,5,3.0,9.0,1.5
20170406NCHH0,2017-04-06,HH,NC,0,B,0,L,0,27,150,39,35,11,1,0,0,0,0,1,0,1,0,2,8,3,0,0,0,5,5,0.9,1.928571429,2.142857143
20170406NCHH0,2017-04-06,NC,HH,0,T,0,W,1,27,136,37,34,8,1,0,1,0,0,0,0,1,0,2,7,2,0,0,0,2,2,0.5,0.75,1.875
20170406OBKT0,2017-04-06,KT,OB,0,B,0,W,2,27,131,36,34,7,0,0,1,0,0,0,0,1,0,1,11,0,0,0,0,1,1,0.0,1.0,1.0
20170406OBKT0,2017-04-06,OB,KT,0,T,0,L,0,24,144,38,28,8,2,0,1,1,0,2,0,8,1,0,10,1,0,0,0,5,5,1.8,2.0526315790000003,3.0
20170406SKHT0,2017-04-06,HT,SK,0,B,0,W,1,27,156,37,34,8,1,0,2,2,0,0,1,2,0,0,5,0,0,0,0,4,4,0.857142857,1.227272727,1.5
20170406SKHT0,2017-04-06,SK,HT,0,T,0,L,0,24,142,38,32,10,2,0,0,3,1,0,0,5,0,1,10,1,2,0,0,6,6,2.625,2.1,2.142857143
20170406SSLG0,2017-04-06,LG,SS,0,B,0,W,0,27,105,31,31,4,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.6,0.3
20170406SSLG0,2017-04-06,SS,LG,0,T,0,L,0,24,134,34,29,8,0,1,1,0,1,1,1,3,0,0,6,0,1,0,0,4,3,1.285714286,1.5,2.142857143
20170406WOLT0,2017-04-06,LT,WO,0,B,0,W,0,27,114,34,34,8,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0.0,0.666666667,2.142857143
20170406WOLT0,2017-04-06,WO,LT,0,T,0,L,0,24,131,41,37,17,3,1,2,0,1,0,3,1,0,0,7,0,1,0,0,12,12,3.5,2.571428571,1.8
20170407HHHT0,2017-04-07,HT,HH,0,B,1,W,0,27,115,38,37,10,2,1,0,0,0,0,0,1,0,0,3,1,0,0,0,2,2,0.375,0.7142857140000001,1.0
20170407HHHT0,2017-04-07,HH,HT,0,T,0,L,0,24,107,32,27,7,2,0,0,0,1,2,1,1,1,1,3,0,1,0,0,4,4,1.125,1.4,0.272727273
20170407LGLT0,2017-04-07,LT,LG,0,B,0,L,0,27,159,37,35,10,3,0,0,0,0,0,0,1,0,1,8,1,0,0,0,6,6,1.5,0.75,0.9
20170407LGLT0,2017-04-07,LG,LT,0,T,0,W,3,27,135,37,31,5,1,0,1,0,0,1,0,4,0,1,12,1,0,0,0,4,1,1.125,0.9,0.6
20170407NCSK0,2017-04-07,SK,NC,0,B,0,L,0,27,153,42,34,10,1,0,1,2,0,2,0,4,0,2,8,1,0,0,0,5,5,1.666666667,1.5555555559999998,2.25
20170407NCSK0,2017-04-07,NC,SK,0,T,0,W,2,27,148,35,32,6,0,0,1,1,0,0,0,2,0,1,9,1,0,0,1,3,2,3.0,0.8888888890000001,0.9
20170407SSKT0,2017-04-07,KT,SS,0,B,0,W,0,27,131,36,33,8,0,0,1,1,1,0,0,3,0,0,7,1,0,0,0,2,2,2.0,1.222222222,1.333333333
20170407SSKT0,2017-04-07,SS,KT,0,T,0,L,0,26,122,36,29,7,0,0,0,1,0,2,1,4,0,0,7,1,0,0,0,3,3,3.0,1.269230769,2.142857143
20170407WOOB0,2017-04-07,OB,WO,0,B,0,L,0,27,161,41,37,11,6,1,1,2,0,0,0,4,0,0,4,1,0,0,0,7,6,1.875,1.909090909,2.625
20170407WOOB0,2017-04-07,WO,OB,0,T,0,W,0,27,168,40,36,9,1,0,0,0,0,0,0,3,0,1,6,0,1,0,0,3,3,2.4,1.0,0.5
20170408HHHT0,2017-04-08,HT,HH,0,B,0,L,0,27,177,42,38,12,2,1,0,0,0,0,0,4,0,0,7,1,1,0,1,4,3,2.1,1.777777778,1.363636364
20170408HHHT0,2017-04-08,HH,HT,0,T,0,W,0,27,115,33,24,3,0,0,0,2,1,2,1,6,0,0,3,1,0,0,0,3,3,1.5,1.0,0.818181818
20170408LGLT0,2017-04-08,LT,LG,0,B,0,W,0,27,162,42,39,14,3,1,1,1,1,0,0,3,1,0,7,1,0,0,0,6,6,1.090909091,1.888888889,1.0
20170408LGLT0,2017-04-08,LG,LT,0,T,0,L,0,26,147,40,36,15,2,0,4,0,1,1,0,3,1,0,4,1,1,0,0,8,8,1.125,2.076923077,3.857142857
20170408NCSK0,2017-04-08,SK,NC,0,B,0,W,1,27,159,35,31,4,1,0,0,0,0,0,0,4,0,0,10,0,0,1,0,2,2,1.8,0.230769231,1.5
20170408NCSK0,2017-04-08,NC,SK,0,T,0,L,0,24,162,40,38,13,0,0,6,0,1,0,0,2,0,0,10,1,4,0,0,9,9,1.0,1.909090909,2.25
20170408SSKT0,2017-04-08,KT,SS,0,B,0,W,4,27,138,36,31,7,0,0,0,0,1,1,0,4,0,0,4,1,0,0,0,0,0,1.0,1.222222222,0.545454545
20170408SSKT0,2017-04-08,SS,KT,0,T,1,L,0,24,84,28,26,3,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,1,1,0.75,0.5,0.857142857
20170408WOOB0,2017-04-08,OB,WO,0,B,0,L,0,27,185,49,46,20,3,0,2,0,0,0,0,2,0,1,6,1,0,0,0,13,13,3.0,3.0,3.375
20170408WOOB0,2017-04-08,WO,OB,0,T,0,W,2,27,185,46,43,16,4,0,0,1,0,0,0,3,0,0,6,0,1,0,0,10,10,3.0,0.857142857,2.0
20170409HHHT0,2017-04-09,HT,HH,0,B,0,W,2,27,141,37,35,13,0,0,0,0,2,0,1,1,0,0,4,1,1,0,1,2,2,0.333333333,1.5555555559999998,1.5
20170409HHHT0,2017-04-09,HH,HT,0,T,0,L,0,24,118,32,30,9,1,0,1,1,0,0,0,2,0,0,4,3,0,0,0,3,3,0.0,1.375,0.9
20170409LGLT0,2017-04-09,LT,LG,0,B,0,W,0,27,153,36,31,5,2,0,0,1,0,0,0,4,0,1,9,1,0,0,0,1,1,1.0,0.5,1.5
20170409LGLT0,2017-04-09,LG,LT,0,T,0,L,0,24,165,44,34,10,4,0,2,1,0,0,0,5,0,5,12,0,1,0,0,7,7,1.8,1.909090909,2.25
20170409NCSK0,2017-04-09,SK,NC,0,B,0,W,1,27,175,43,38,12,1,0,0,1,1,0,0,4,1,1,10,1,0,0,0,5,5,2.0,3.666666667,3.5
20170409NCSK0,2017-04-09,NC,SK,0,T,0,L,0,24,160,43,36,13,2,0,2,0,1,0,0,5,0,2,7,0,1,0,0,8,8,1.8,2.666666667,6.0
20170409SSKT0,2017-04-09,KT,SS,0,B,1,W,0,27,113,30,29,4,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,3.0,0.0,0.0
20170409SSKT0,2017-04-09,SS,KT,0,T,0,L,0,24,131,31,28,7,1,0,0,0,0,0,1,2,0,0,4,1,0,0,0,3,3,2.4,1.588235294,2.142857143
20170409WOOB0,2017-04-09,OB,WO,0,B,0,L,0,27,157,47,44,19,2,0,1,0,1,0,0,3,0,0,5,2,0,0,1,13,8,4.8,5.25,4.5
20170409WOOB0,2017-04-09,WO,OB,0,T,0,W,0,27,112,34,30,3,0,0,1,0,0,0,0,4,0,0,5,0,0,0,0,2,2,1.5,0.0,0.6
20170411HHSS0,2017-04-11,SS,HH,0,B,0,L,1,30,186,50,43,14,1,0,1,1,0,0,0,7,0,0,7,0,0,0,0,11,11,5.4,2.0,2.7
20170411HHSS0,2017-04-11,HH,SS,0,T,0,W,0,30,186,50,44,15,3,1,1,0,0,1,1,3,0,1,8,0,0,0,0,8,7,1.75,1.909090909,1.636363636
20170411HTOB0,2017-04-11,OB,HT,0,B,0,W,0,27,150,35,34,8,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,4,4,4.0,0.857142857,1.0
