게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수명,선발,타순,타자,타수,타점,득점,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고의4구,사구,삼진,병살타,실책,잔루,득점권타율,득점권타수,득점권안타
20160401HHLG0,2016-04-01,HH,LG,0,T,송주호,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20160401HHLG0,2016-04-01,LG,HH,0,B,유강남,1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,LG,HH,0,B,이천웅,1,7,4,4,2,2,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.0,1,1
20160401HHLG0,2016-04-01,LG,HH,0,B,서상우,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,HH,LG,0,T,하주석,1,9,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0
20160401HHLG0,2016-04-01,LG,HH,0,B,황목치승,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,LG,HH,0,B,강승호,1,9,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,HH,LG,0,T,신성현,1,7,6,4,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0.0,2,0
20160401HHLG0,2016-04-01,LG,HH,0,B,양석환,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1
20160401HHLG0,2016-04-01,LG,HH,0,B,히메네스,1,5,5,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1
20160401HHLG0,2016-04-01,LG,HH,0,B,안익훈,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,HH,LG,0,T,로사리오,1,5,6,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1
20160401HHLG0,2016-04-01,HH,LG,0,T,장민석,1,2,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1,0
20160401HHLG0,2016-04-01,HH,LG,0,T,김경언,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0
20160401HHLG0,2016-04-01,HH,LG,0,T,김태균,1,4,6,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.25,4,1
20160401HHLG0,2016-04-01,LG,HH,0,B,정상호,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,LG,HH,0,B,박용택,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0
20160401HHLG0,2016-04-01,HH,LG,0,T,이성열,1,3,5,4,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1.0,1,1
20160401HHLG0,2016-04-01,HH,LG,0,T,최진행,1,6,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0.0,2,0
20160401HHLG0,2016-04-01,LG,HH,0,B,임훈,1,1,6,4,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0.0,1,0
20160401HHLG0,2016-04-01,HH,LG,0,T,정근우,1,1,6,4,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.0,1,0
20160401HHLG0,2016-04-01,LG,HH,0,B,이병규,1,4,5,5,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0.5,2,1
20160401HHLG0,2016-04-01,LG,HH,0,B,김용의,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,LG,HH,0,B,정주현,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0.0,1,0
20160401HHLG0,2016-04-01,LG,HH,0,B,채은성,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,LG,HH,0,B,윤진호,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,HH,LG,0,T,권용관,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20160401HHLG0,2016-04-01,HH,LG,0,T,조인성,1,8,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,2,0
20160401HHLG0,2016-04-01,LG,HH,0,B,정성훈,1,6,5,4,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,1,0
20160401HTNC0,2016-04-01,HT,NC,0,T,오준혁,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0
20160401HTNC0,2016-04-01,NC,HT,0,B,박민우,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0.0,1,0
20160401HTNC0,2016-04-01,NC,HT,0,B,김성욱,1,2,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0,1,0
20160401HTNC0,2016-04-01,NC,HT,0,B,나성범,1,3,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0
20160401HTNC0,2016-04-01,HT,NC,0,T,박찬호,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20160401HTNC0,2016-04-01,HT,NC,0,T,필,1,4,4,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20160401HTNC0,2016-04-01,NC,HT,0,B,테임즈,1,4,4,4,2,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0
20160401HTNC0,2016-04-01,HT,NC,0,T,김호령,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0
20160401HTNC0,2016-04-01,HT,NC,0,T,김주찬,1,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0
