게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,완투,결과,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP
20190323HHOB0,2019-03-23,OB,HH,0,B,0,W,1,27,151,42,34,12,1,0,0,0,1,1,1,5,0,1,7,2,1,0,0,4,4,1.2,1.888888889,3.857142857
20190323HHOB0,2019-03-23,HH,OB,0,T,0,L,0,24,138,33,28,6,1,0,1,0,0,0,0,5,0,0,3,1,1,0,0,5,5,3.0,1.375,3.0
20190323KTSK0,2019-03-23,SK,KT,0,B,0,W,1,27,153,39,36,9,0,0,1,0,0,0,0,3,0,0,10,1,0,0,0,4,4,0.666666667,1.375,0.818181818
20190323KTSK0,2019-03-23,KT,SK,0,T,0,L,0,24,140,37,31,8,1,0,2,1,0,0,0,6,0,0,5,1,0,0,0,7,6,2.0,1.826086957,1.5
20190323LGHT0,2019-03-23,HT,LG,0,B,0,L,0,27,146,34,31,8,3,0,0,0,0,0,0,3,0,0,12,3,0,0,0,2,2,0.5,1.222222222,0.6
20190323LGHT0,2019-03-23,LG,HT,0,T,0,W,1,27,119,33,28,3,1,0,0,0,0,1,0,3,0,1,6,1,0,0,0,0,0,0.272727273,0.666666667,0.545454545
20190323SSNC0,2019-03-23,NC,SS,0,B,0,W,0,27,123,31,29,4,0,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,0,0.0,1.0,0.666666667
20190323SSNC0,2019-03-23,SS,NC,0,T,0,L,0,24,144,36,31,8,0,0,3,0,1,0,0,5,0,0,7,0,0,0,1,7,7,4.0,9.0,4.2
20190323WOLT0,2019-03-23,LT,WO,0,B,0,L,0,27,158,44,40,14,1,0,2,0,1,1,0,3,0,0,7,1,2,0,1,7,7,1.285714286,2.166666667,3.857142857
20190323WOLT0,2019-03-23,WO,LT,0,T,0,W,3,27,128,37,35,7,2,0,0,1,0,0,0,1,0,1,11,0,1,0,0,4,3,0.9,0.529411765,1.125
20190324HHOB0,2019-03-24,OB,HH,0,B,0,L,0,27,156,43,37,9,2,0,0,0,0,0,1,5,0,0,11,1,0,0,0,11,5,3.5,1.0,1.2
20190324HHOB0,2019-03-24,HH,OB,0,T,0,W,0,27,113,30,28,3,0,0,0,0,0,0,0,1,0,1,8,2,0,1,0,1,1,1.0,0.166666667,0.333333333
20190324KTSK0,2019-03-24,SK,KT,0,B,0,W,0,27,139,37,33,7,1,0,0,6,1,0,0,3,0,1,10,0,1,0,0,3,3,1.5,1.25,1.875
20190324KTSK0,2019-03-24,KT,SK,0,T,0,L,1,24,161,36,33,9,1,0,2,4,0,0,0,3,0,0,5,0,0,0,0,6,6,2.0,1.636363636,1.5
20190324LGHT0,2019-03-24,HT,LG,0,B,0,L,0,27,178,46,40,12,3,0,2,1,1,0,0,6,0,0,5,0,2,0,1,9,8,1.666666667,6.0,2.0
20190324LGHT0,2019-03-24,LG,HT,0,T,0,W,0,27,124,36,36,9,2,0,0,0,0,0,0,0,0,0,10,1,1,0,1,3,1,1.0,0.0,1.333333333
20190324SSNC0,2019-03-24,NC,SS,0,B,0,L,1,27,158,42,30,5,2,0,0,0,0,2,0,7,0,3,7,0,0,0,0,4,2,0.75,1.333333333,1.090909091
20190324SSNC0,2019-03-24,SS,NC,0,T,0,W,1,27,136,38,37,8,0,0,1,1,0,0,0,0,0,1,5,0,1,0,0,3,3,0.428571429,0.8888888890000001,0.6
20190324WOLT0,2019-03-24,LT,WO,0,B,0,W,1,27,150,35,33,6,2,0,0,0,1,0,0,2,0,0,12,0,0,0,0,2,2,1.2,1.0,1.5
20190324WOLT0,2019-03-24,WO,LT,0,T,0,L,0,24,144,35,31,9,2,0,1,1,0,2,0,2,0,0,7,0,2,0,0,6,6,1.285714286,1.35,1.0
20190326HHHT0,2019-03-26,HT,HH,0,B,0,L,0,27,154,46,38,16,5,0,3,1,1,0,1,6,0,1,7,3,0,0,0,13,13,3.0,3.0,3.857142857
20190326HHHT0,2019-03-26,HH,HT,0,T,0,W,1,27,181,44,37,8,2,1,0,0,0,0,0,6,0,1,8,0,1,1,0,7,6,2.0,0.857142857,2.0
20190326KTNC0,2019-03-26,NC,KT,0,B,0,W,2,33,209,51,45,13,1,0,2,0,0,0,0,6,0,0,16,1,2,0,0,8,6,1.875,1.56,2.181818182
20190326KTNC0,2019-03-26,KT,NC,0,T,0,L,0,32,200,51,43,12,1,1,5,0,1,1,0,6,2,1,10,2,1,0,0,9,7,1.666666667,1.909090909,0.923076923
20190326LGSK0,2019-03-26,SK,LG,0,B,0,L,0,27,143,38,31,5,2,0,1,0,0,0,1,5,0,1,2,0,1,0,1,6,6,2.0,1.304347826,2.5
20190326LGSK0,2019-03-26,LG,SK,0,T,0,W,1,27,128,33,33,8,3,0,1,0,0,0,0,0,0,0,12,1,1,0,0,3,3,1.285714286,1.142857143,0.272727273
