일자,팀코드,선수명,등록말소
2017-03-31,LG,백창수,N
2017-03-31,LG,배민관,N
2017-03-31,LG,신정락,Y
2017-03-31,SS,이승현,Y
2017-03-31,LG,유경국,N
2017-03-31,LG,김지용,Y
2017-03-31,OB,장민익,N
2017-03-31,NC,이재학,Y
2017-03-31,KT,정대현,Y
2017-03-31,SK,김대유,N
2017-03-31,WO,김건태,Y
2017-03-31,KT,이해창,Y
2017-03-31,OB,임진우,N
2017-03-31,SS,백상원,Y
2017-03-31,SS,김현우,N
2017-03-31,SS,문선엽,N
2017-03-31,KT,김동은,N
2017-03-31,LT,정훈,Y
2017-03-31,LT,오태곤,Y
2017-03-31,LT,박시영,Y
2017-03-31,NC,이상호,Y
2017-03-31,HT,홍재호,N
2017-03-31,HT,임기준,N
2017-03-31,HT,심동섭,Y
2017-03-31,HT,이인행,Y
2017-03-31,HT,최병연,Y
2017-03-31,HH,이종환,N
2017-03-31,HT,이준호,N
2017-03-31,HH,안승민,N
2017-03-31,SS,이상훈,N
2017-03-31,HH,김경태,N
2017-03-31,HH,김용주,N
2017-03-31,HH,이태양,N
2017-03-31,HH,최윤석,N
2017-03-31,SK,박종훈,N
2017-03-31,SK,문광은,Y
2017-03-31,KT,최원재,N
2017-03-31,KT,안정광,N
2017-03-31,LG,이창호,N
2017-03-31,LG,임찬규,N
2017-03-31,LG,유강남,Y
2017-03-31,SS,정병곤,Y
2017-03-31,LG,김재율,N
2017-03-31,LG,송윤준,N
2017-03-31,LG,이천웅,Y
2017-03-31,SS,최영진,Y
2017-03-31,LT,김동한,Y
2017-03-31,OB,정진호,Y
2017-03-31,OB,이현호,Y
2017-03-31,OB,안규영,Y
2017-03-31,OB,니퍼트,Y
2017-03-31,LG,윤지웅,N
2017-03-31,WO,고종욱,Y
2017-03-31,SK,김도현,N
2017-03-31,SS,김대우,Y
2017-03-31,WO,홍성갑,N
2017-03-31,WO,박정준,Y
2017-03-31,SS,김헌곤,Y
2017-03-31,SS,심창민,Y
2017-03-31,WO,윤영삼,N
2017-03-31,SS,임현준,N
2017-03-31,SS,김정혁,N
2017-03-31,LT,김민하,N
2017-03-31,SK,이정담,N
2017-03-31,LT,김사훈,Y
2017-03-31,HT,홍건희,Y
2017-03-31,HT,윤정우,N
2017-03-31,HT,한승혁,Y
2017-03-31,HH,강경학,Y
2017-03-31,SS,나성용,N
2017-03-31,HT,오준혁,N
2017-03-31,SK,정진기,Y
2017-03-31,LG,임정우,N
2017-03-31,SK,서진용,Y
2017-03-31,KT,채선관,N
2017-03-31,HT,김지성,N
2017-03-31,NC,윤병호,Y
2017-03-31,SK,정영일,N
2017-03-31,LG,최성훈,Y
2017-03-31,LG,조윤준,N
2017-03-31,LG,서상우,Y
2017-03-31,OB,류지혁,Y
2017-03-31,OB,박세혁,Y
2017-03-31,KT,유민상,N
2017-03-31,WO,밴헤켄,Y
2017-03-31,WO,김재현,Y
2017-03-31,WO,박종윤,N
2017-03-31,WO,박정음,Y
2017-03-31,WO,한현희,Y
2017-03-31,SS,구자욱,Y
2017-03-31,SS,성의준,N
2017-03-31,SS,박해민,Y
2017-03-31,LG,이준형,N
2017-03-31,SS,이현동,N
2017-03-31,LT,김원중,Y
2017-03-31,LT,신본기,Y
2017-03-31,LT,김상호,Y
2017-03-31,LT,정태승,N
2017-03-31,HT,박지훈,Y
2017-03-31,HT,김윤동,N
2017-03-31,HT,김종훈,N
2017-03-31,LG,소사,Y
2017-03-31,HH,하주석,N
2017-03-31,HT,임기영,Y
2017-03-31,HH,김원석,Y
2017-03-31,HH,양성우,N
2017-03-31,SK,박승욱,Y
2017-03-31,SK,김민식,Y
2017-03-31,SK,임치영,N
2017-03-31,SK,문승원,N
2017-03-31,SK,허건엽,N
2017-03-31,SK,최정민,N
2017-03-31,SK,한동민,Y
2017-03-31,NC,박민우,N
2017-03-31,NC,황윤호,N
2017-03-31,NC,강구성,N
2017-03-31,NC,박헌욱,N
2017-03-31,NC,강진성,N
2017-03-31,NC,박세웅,N
2017-03-31,NC,김태우,N
2017-03-31,NC,이민호,N
2017-03-31,NC,김성욱,Y
2017-03-31,WO,신재영,Y
2017-03-31,NC,나성범,Y
2017-03-31,NC,이형범,Y
2017-03-31,NC,최금강,N
2017-03-31,SS,안성무,N
2017-03-31,LG,황목치승,Y
2017-03-31,KT,김진곤,N
2017-03-31,LG,류제국,N
2017-03-31,LG,강승호,N
2017-03-31,LG,오상엽,N
2017-03-31,OB,함덕주,N
2017-03-31,OB,김인태,Y
2017-03-31,OB,이우성,N
2017-03-31,WO,김민준,N
2017-03-31,WO,조상우,N
2017-03-31,WO,장시윤,N
2017-03-31,KT,정현,Y
2017-03-31,SS,윤대경,N
2017-03-31,LT,박진형,N
2017-03-31,LT,송주은,N
2017-03-31,LT,조홍석,N
2017-03-31,HT,손동욱,N
2017-03-31,HT,이홍구,Y
2017-03-31,HT,고장혁,N
2017-03-31,HT,노수광,Y
2017-03-31,HT,한승택,Y
2017-03-31,HH,김종수,N
2017-03-31,SK,김정빈,N
2017-03-31,LG,최재원,Y
2017-03-31,NC,김준완,Y
2017-03-31,NC,해커,N
2017-03-31,NC,장현식,Y
2017-03-31,NC,임정호,Y
2017-03-31,NC,윤호솔,N
2017-03-31,NC,권희동,Y
2017-03-31,KT,고영표,Y
2017-03-31,KT,심우준,Y
2017-03-31,KT,심재민,Y
2017-03-31,LT,박세웅,N
2017-03-31,LT,안중열,N
2017-03-31,KT,류희운,N
2017-03-31,KT,안상빈,N
2017-03-31,HH,신성현,Y
2017-03-31,LG,박재욱,N
2017-03-31,LG,장준원,N
2017-03-31,LG,양석환,Y
2017-03-31,OB,홍영현,N
2017-03-31,OB,한주성,N
2017-03-31,OB,최병욱,N
2017-03-31,OB,이성곤,N
2017-03-31,OB,전용훈,N
2017-03-31,OB,문진제,N
2017-03-31,WO,김하성,Y
2017-03-31,WO,임병욱,N
2017-03-31,WO,하영민,N
2017-03-31,WO,김윤환,N
2017-03-31,SS,안규현,N
2017-03-31,SS,이수민,N
2017-03-31,SS,구준범,N
2017-03-31,LT,신원재,N
2017-03-31,LT,김유영,N
2017-03-31,SS,강한울,Y
2017-03-31,HH,이창열,N
2017-03-31,HH,지성준,N
2017-03-31,HH,박준혁,N
2017-03-31,HH,서균,N
2017-03-31,HH,황영국,N
2017-03-31,LT,박한길,N
2017-03-31,SS,김민수,N
2017-03-31,SK,이건욱,N
2017-03-31,SK,조용호,Y
2017-03-31,NC,강장산,N
2017-03-31,NC,박광열,Y
2017-03-31,NC,배재환,N
2017-03-31,KT,김태훈,N
2017-03-31,KT,홍성무,N
2017-03-31,KT,김만수,N
2017-03-31,KT,엄상백,Y
2017-03-31,KT,이창재,N
2017-03-31,KT,정성곤,Y
2017-03-31,KT,주권,N
2017-03-31,KT,김재윤,Y
2017-03-31,NC,윤수호,Y
2017-03-31,KT,조무근,Y
2017-03-31,KT,정주후,N
2017-03-31,LG,히메네스,Y
2017-03-31,LG,안익훈,N
2017-03-31,OB,남경호,N
2017-03-31,OB,정진철,N
2017-03-31,WO,최원태,N
2017-03-31,KT,피어밴드,Y
2017-03-31,WO,김택형,N
2017-03-31,WO,김해수,N
2017-03-31,WO,박주현,Y
2017-03-31,WO,송성문,N
2017-03-31,WO,송우현,N
2017-03-31,WO,정용준,N
2017-03-31,WO,김정인,N
2017-03-31,WO,허정협,Y
2017-03-31,SS,윤영수,N
2017-03-31,SS,권정웅,N
2017-03-31,SS,최민구,N
2017-03-31,SK,최정용,N
2017-03-31,LT,김재유,N
2017-03-31,LT,차재용,N
2017-03-31,LT,김대륙,N
2017-03-31,LT,강동관,N
2017-03-31,LT,배제성,Y
2017-03-31,LT,레일리,Y
2017-03-31,HT,김호령,N
2017-03-31,HT,김명찬,N
2017-03-31,HH,김민우,N
2017-03-31,HH,김범수,N
