게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,완투,결과,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP
20160401HHLG0,2016-04-01,LG,HH,0,B,0,W,0,36,184,52,46,13,2,0,0,0,0,3,0,3,0,0,10,1,0,0,0,4,4,0.642857143,1.285714286,2.4
20160401HHLG0,2016-04-01,HH,LG,0,T,0,L,0,34,196,47,42,9,2,0,1,2,1,1,0,4,0,0,11,0,1,0,0,5,4,1.5,1.0,0.75
20160401HTNC0,2016-04-01,NC,HT,0,B,0,W,0,27,143,38,34,8,3,0,1,0,0,0,0,3,0,1,10,1,2,0,0,4,4,1.333333333,1.038461538,2.142857143
20160401HTNC0,2016-04-01,HT,NC,0,T,0,L,0,24,147,36,30,9,2,0,2,0,0,1,0,5,0,0,9,1,0,0,0,5,5,0.5,1.695652174,1.875
20160401KTSK0,2016-04-01,SK,KT,0,B,0,L,0,27,151,42,36,11,0,0,2,2,1,0,1,4,0,1,7,0,0,0,0,8,8,1.0,2.357142857,2.25
20160401KTSK0,2016-04-01,KT,SK,0,T,0,W,0,27,147,36,36,10,5,0,1,0,0,0,0,0,0,0,7,1,0,0,0,4,4,1.8,1.75,0.272727273
20160401LTWO0,2016-04-01,WO,LT,0,B,0,L,0,27,145,39,37,11,2,0,0,1,0,0,0,2,0,0,6,2,0,0,0,2,1,0.25,1.4444444440000002,0.818181818
20160401LTWO0,2016-04-01,LT,WO,0,T,0,W,4,27,138,36,30,6,1,0,0,0,2,0,1,5,0,0,6,0,0,0,1,1,0,0.0,1.222222222,1.0
20160401OBSS0,2016-04-01,SS,OB,0,B,0,L,0,27,147,37,31,8,0,0,2,2,1,1,1,3,0,1,3,1,0,0,1,5,4,0.375,2.571428571,3.0
20160401OBSS0,2016-04-01,OB,SS,0,T,0,W,1,27,146,35,32,8,0,0,0,1,1,0,0,2,0,1,6,2,1,0,0,1,1,1.0,2.0,1.666666667
20160402HHLG0,2016-04-02,LG,HH,0,B,0,W,2,33,176,50,43,13,4,0,0,0,1,2,0,3,1,2,9,0,0,0,0,7,7,1.909090909,1.272727273,1.5
20160402HHLG0,2016-04-02,HH,LG,0,T,0,L,0,30,222,49,40,12,2,1,1,1,2,0,0,8,0,1,9,0,2,0,1,8,8,4.0,2.111111111,3.0
20160402HTNC0,2016-04-02,NC,HT,0,B,0,L,0,27,152,39,33,8,2,0,1,1,1,1,0,5,0,0,8,0,0,0,0,4,4,3.6,1.5,2.571428571
20160402HTNC0,2016-04-02,HT,NC,0,T,0,W,0,27,146,36,33,7,1,0,1,1,0,0,0,2,0,1,5,1,0,0,0,3,3,0.75,0.6,1.5
20160402KTSK0,2016-04-02,SK,KT,0,B,0,W,0,30,162,41,34,8,0,0,0,0,2,1,0,6,0,0,3,2,1,0,1,3,2,1.875,1.4,0.428571429
20160402KTSK0,2016-04-02,KT,SK,0,T,0,L,0,28,173,44,37,10,2,0,1,2,0,0,0,6,2,1,6,1,1,0,0,4,4,1.875,1.714285714,2.0
20160402LTWO0,2016-04-02,WO,LT,0,B,0,W,3,27,167,39,34,8,3,0,0,2,1,0,0,5,0,0,9,0,0,0,0,3,3,1.2,1.263157895,0.545454545
