게임키,일자,원정팀코드,홈팀코드,더블헤더코드,요일,구장
20200505HHSK0,2020-05-05,HH,SK,0,화,문학
20200505LTKT0,2020-05-05,LT,KT,0,화,수원
20200505NCSS0,2020-05-05,NC,SS,0,화,대구
20200505OBLG0,2020-05-05,OB,LG,0,화,잠실
20200505WOHT0,2020-05-05,WO,HT,0,화,광주
20200506HHSK0,2020-05-06,HH,SK,0,수,문학
20200506LTKT0,2020-05-06,LT,KT,0,수,수원
20200506NCSS0,2020-05-06,NC,SS,0,수,대구
20200506OBLG0,2020-05-06,OB,LG,0,수,잠실
20200506WOHT0,2020-05-06,WO,HT,0,수,광주
20200507HHSK0,2020-05-07,HH,SK,0,목,문학
20200507LTKT0,2020-05-07,LT,KT,0,목,수원
20200507NCSS0,2020-05-07,NC,SS,0,목,대구
20200507OBLG0,2020-05-07,OB,LG,0,목,잠실
20200507WOHT0,2020-05-07,WO,HT,0,목,광주
20200508HHWO0,2020-05-08,HH,WO,0,금,고척
20200508HTSS0,2020-05-08,HT,SS,0,금,대구
20200508KTOB0,2020-05-08,KT,OB,0,금,잠실
20200508LGNC0,2020-05-08,LG,NC,0,금,창원
20200508SKLT0,2020-05-08,SK,LT,0,금,사직
20200509HHWO0,2020-05-09,HH,WO,0,토,고척
20200509HTSS0,2020-05-09,HT,SS,0,토,대구
20200510HHWO0,2020-05-10,HH,WO,0,일,고척
20200510HTSS0,2020-05-10,HT,SS,0,일,대구
20200510KTOB0,2020-05-10,KT,OB,0,일,잠실
20200510LGNC0,2020-05-10,LG,NC,0,일,창원
20200510SKLT0,2020-05-10,SK,LT,0,일,사직
20200512HTHH0,2020-05-12,HT,HH,0,화,대전
20200512KTNC0,2020-05-12,KT,NC,0,화,창원
20200512OBLT0,2020-05-12,OB,LT,0,화,사직
20200512SKLG0,2020-05-12,SK,LG,0,화,잠실
20200512SSWO0,2020-05-12,SS,WO,0,화,고척
20200513HTHH0,2020-05-13,HT,HH,0,수,대전
20200513KTNC0,2020-05-13,KT,NC,0,수,창원
20200513OBLT0,2020-05-13,OB,LT,0,수,사직
20200513SKLG0,2020-05-13,SK,LG,0,수,잠실
20200513SSWO0,2020-05-13,SS,WO,0,수,고척
20200514HTHH0,2020-05-14,HT,HH,0,목,대전
20200514KTNC0,2020-05-14,KT,NC,0,목,창원
20200514OBLT0,2020-05-14,OB,LT,0,목,사직
20200514SKLG0,2020-05-14,SK,LG,0,목,잠실
20200514SSWO0,2020-05-14,SS,WO,0,목,고척
20200515LTHH0,2020-05-15,LT,HH,0,금,대전
20200515NCSK0,2020-05-15,NC,SK,0,금,문학
20200515OBHT0,2020-05-15,OB,HT,0,금,광주
20200515SSKT0,2020-05-15,SS,KT,0,금,수원
20200516LTHH0,2020-05-16,LT,HH,0,토,대전
20200516NCSK0,2020-05-16,NC,SK,0,토,문학
20200516OBHT0,2020-05-16,OB,HT,0,토,광주
20200516SSKT0,2020-05-16,SS,KT,0,토,수원
20200516WOLG1,2020-05-16,WO,LG,1,토,잠실
20200516WOLG2,2020-05-16,WO,LG,2,토,잠실
20200517LTHH0,2020-05-17,LT,HH,0,일,대전
20200517NCSK0,2020-05-17,NC,SK,0,일,문학
20200517OBHT0,2020-05-17,OB,HT,0,일,광주
20200517SSKT0,2020-05-17,SS,KT,0,일,수원
20200517WOLG0,2020-05-17,WO,LG,0,일,잠실
20200519HHKT0,2020-05-19,HH,KT,0,화,수원
20200519LGSS0,2020-05-19,LG,SS,0,화,대구
20200519LTHT0,2020-05-19,LT,HT,0,화,광주
20200519NCOB0,2020-05-19,NC,OB,0,화,잠실
20200519SKWO0,2020-05-19,SK,WO,0,화,고척
20200520HHKT0,2020-05-20,HH,KT,0,수,수원
20200520LGSS0,2020-05-20,LG,SS,0,수,대구
20200520LTHT0,2020-05-20,LT,HT,0,수,광주
20200520NCOB0,2020-05-20,NC,OB,0,수,잠실
20200520SKWO0,2020-05-20,SK,WO,0,수,고척
