게임키,일자,원정팀코드,홈팀코드,더블헤더코드,요일,구장
20160401HHLG0,2016-04-01,HH,LG,0,금,잠실
20160401HTNC0,2016-04-01,HT,NC,0,금,마산
20160401KTSK0,2016-04-01,KT,SK,0,금,문학
20160401LTWO0,2016-04-01,LT,WO,0,금,고척
20160401OBSS0,2016-04-01,OB,SS,0,금,대구
20160402HHLG0,2016-04-02,HH,LG,0,토,잠실
20160402HTNC0,2016-04-02,HT,NC,0,토,마산
20160402KTSK0,2016-04-02,KT,SK,0,토,문학
20160402LTWO0,2016-04-02,LT,WO,0,토,고척
20160402OBSS0,2016-04-02,OB,SS,0,토,대구
20160403KTSK0,2016-04-03,KT,SK,0,일,문학
20160403LTWO0,2016-04-03,LT,WO,0,일,고척
20160405LGHT0,2016-04-05,LG,HT,0,화,광주
20160405NCOB0,2016-04-05,NC,OB,0,화,잠실
20160405SKLT0,2016-04-05,SK,LT,0,화,사직
20160405SSKT0,2016-04-05,SS,KT,0,화,수원
20160405WOHH0,2016-04-05,WO,HH,0,화,대전
20160406NCOB0,2016-04-06,NC,OB,0,수,잠실
20160406SKLT0,2016-04-06,SK,LT,0,수,사직
20160406SSKT0,2016-04-06,SS,KT,0,수,수원
20160406WOHH0,2016-04-06,WO,HH,0,수,대전
20160407LGHT0,2016-04-07,LG,HT,0,목,광주
20160407NCOB0,2016-04-07,NC,OB,0,목,잠실
20160407SKLT0,2016-04-07,SK,LT,0,목,사직
20160407SSKT0,2016-04-07,SS,KT,0,목,수원
20160407WOHH0,2016-04-07,WO,HH,0,목,대전
20160408HHNC0,2016-04-08,HH,NC,0,금,마산
20160408HTKT0,2016-04-08,HT,KT,0,금,수원
20160408LGSK0,2016-04-08,LG,SK,0,금,문학
20160408SSLT0,2016-04-08,SS,LT,0,금,사직
20160408WOOB0,2016-04-08,WO,OB,0,금,잠실
20160409HHNC0,2016-04-09,HH,NC,0,토,마산
20160409HTKT0,2016-04-09,HT,KT,0,토,수원
20160409LGSK0,2016-04-09,LG,SK,0,토,문학
20160409SSLT0,2016-04-09,SS,LT,0,토,사직
20160409WOOB0,2016-04-09,WO,OB,0,토,잠실
20160410HHNC0,2016-04-10,HH,NC,0,일,마산
20160410HTKT0,2016-04-10,HT,KT,0,일,수원
20160410LGSK0,2016-04-10,LG,SK,0,일,문학
20160410SSLT0,2016-04-10,SS,LT,0,일,사직
20160410WOOB0,2016-04-10,WO,OB,0,일,잠실
20160412HTSK0,2016-04-12,HT,SK,0,화,문학
20160412KTWO0,2016-04-12,KT,WO,0,화,고척
20160412LTLG0,2016-04-12,LT,LG,0,화,잠실
20160412NCSS0,2016-04-12,NC,SS,0,화,대구
