일자,팀코드,선수명,등록말소
2020-05-05,HH,양성우,N
2020-05-05,HH,윤대경,N
2020-05-05,HH,장운호,Y
2020-05-05,HH,박한결,N
2020-05-05,HH,김종수,N
2020-05-05,HH,송창현,N
2020-05-05,HH,윤호솔,N
2020-05-05,HH,문동욱,N
2020-05-05,HH,서균,N
2020-05-05,HH,황영국,N
2020-05-05,HH,김민우,Y
2020-05-05,HH,김범수,Y
2020-05-05,HH,이동훈,N
2020-05-05,HH,장진혁,Y
2020-05-05,HH,박상언,N
2020-05-05,HH,박상원,Y
2020-05-05,HH,김진영,Y
2020-05-05,HH,김진욱,N
2020-05-05,HH,박주홍,N
2020-05-05,HH,호잉,Y
2020-05-05,HH,정은원,Y
2020-05-05,HH,변우혁,N
2020-05-05,HH,노시환,Y
2020-05-05,HH,서폴드,Y
2020-05-05,HH,김이환,N
2020-05-05,HH,채드벨,N
2020-05-05,HH,박윤철,N
2020-05-05,HH,유장혁,N
2020-05-05,HH,김태균,Y
2020-05-05,HH,이성열,Y
2020-05-05,HH,안영명,Y
2020-05-05,HH,윤규진,N
2020-05-05,HH,이용규,Y
2020-05-05,HH,최진행,N
2020-05-05,HH,송창식,N
2020-05-05,HH,정우람,Y
2020-05-05,HH,최승준,N
2020-05-05,HH,김문호,N
2020-05-05,HH,송광민,Y
2020-05-05,HH,장시환,Y
2020-05-05,HH,최재훈,Y
2020-05-05,HH,오선진,Y
2020-05-05,HH,김종민,N
2020-05-05,HH,김회성,Y
2020-05-05,HH,장민재,Y
2020-05-05,HT,홍종표,N
2020-05-05,HT,유지성,N
2020-05-05,HT,브룩스,N
2020-05-05,HT,가뇽,Y
2020-05-05,HT,박민,N
2020-05-05,HT,정해영,N
2020-05-05,HT,임기준,N
2020-05-05,HT,홍건희,Y
2020-05-05,HT,변시원,Y
2020-05-05,HT,유민상,Y
2020-05-05,HT,김윤동,N
2020-05-05,HT,임기영,Y
2020-05-05,HT,김민식,N
2020-05-05,HT,최정민,Y
2020-05-05,HT,황윤호,Y
2020-05-05,HT,이우성,Y
2020-05-05,HT,고영창,Y
2020-05-05,HT,고장혁,N
2020-05-05,HT,박준표,Y
2020-05-05,HT,한승택,Y
2020-05-05,HT,이창진,N
2020-05-05,HT,이은총,N
2020-05-05,HT,차명진,N
2020-05-05,HT,박찬호,Y
2020-05-05,HT,박진두,N
2020-05-05,HT,최정용,Y
2020-05-05,HT,황대인,N
2020-05-05,HT,이민우,N
2020-05-05,HT,황인준,N
2020-05-05,HT,박정수,N
2020-05-05,HT,문경찬,Y
2020-05-05,HT,김호령,N
2020-05-05,HT,이준영,Y
2020-05-05,HT,김명찬,N
2020-05-05,HT,최원준,Y
2020-05-05,HT,전상현,Y
2020-05-05,HT,김규성,N
2020-05-05,HT,김현준,Y
2020-05-05,HT,이진영,N
2020-05-05,HT,이정훈,Y
2020-05-05,HT,박진태,N
2020-05-05,HT,김승범,N
2020-05-05,HT,하준영,N
2020-05-05,HT,한준수,N
2020-05-05,HT,김현수,N
2020-05-05,HT,김기훈,N
2020-05-05,HT,오선우,N
2020-05-05,HT,홍원빈,N
2020-05-05,HT,양승철,N
2020-05-05,HT,터커,Y
2020-05-05,HT,김주찬,N
2020-05-05,HT,최형우,Y
2020-05-05,HT,나주환,Y
2020-05-05,HT,유재신,N
2020-05-05,HT,양현종,Y
2020-05-05,HT,홍상삼,N
2020-05-05,HT,김선빈,Y
2020-05-05,HT,나지완,Y
2020-05-05,HT,백용환,Y
2020-05-05,HT,문선재,Y
2020-05-05,HT,장영석,Y
2020-05-05,KT,소형준,N
2020-05-05,KT,이강준,N
2020-05-05,KT,데스파이네,Y
2020-05-05,KT,천성호,N
2020-05-05,KT,강현우,Y
2020-05-05,KT,윤준혁,N
2020-05-05,KT,한지용,N
2020-05-05,KT,오태곤,Y
2020-05-05,KT,박승욱,Y
2020-05-05,KT,조근종,N
2020-05-05,KT,김영환,N
2020-05-05,KT,김민혁,Y
2020-05-05,KT,심우준,Y
2020-05-05,KT,문상철,N
2020-05-05,KT,안승한,N
2020-05-05,KT,송민섭,Y
2020-05-05,KT,김병희,Y
2020-05-05,KT,류희운,N
2020-05-05,KT,안현준,N
2020-05-05,KT,조현우,N
2020-05-05,KT,배정대,Y
2020-05-05,KT,조용호,Y
2020-05-05,KT,강민국,Y
2020-05-05,KT,강장산,N
2020-05-05,KT,김태훈,N
2020-05-05,KT,김민수,Y
2020-05-05,KT,이창재,N
2020-05-05,KT,정성곤,N
2020-05-05,KT,주권,Y
2020-05-05,KT,김재윤,Y
