게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,타자,타수,타점,득점,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고의4구,사구,삼진,병살타,실책,잔루,득점권타율,득점권타수,득점권안타
20170331HHOB0,2017-03-31,OB,HH,0,B,33,27,3,3,4,1,0,0,3,0,0,2,2,0,2,8,0,1,6,0.111111111,9,1
20170331HHOB0,2017-03-31,HH,OB,0,T,33,29,0,0,4,0,0,0,0,1,1,0,3,0,0,8,0,4,6,0.0,4,0
20170331HTSS0,2017-03-31,SS,HT,0,B,33,31,2,2,7,1,0,2,0,0,1,0,1,0,0,7,1,1,4,0.0,3,0
20170331HTSS0,2017-03-31,HT,SS,0,T,42,34,7,7,7,1,1,3,0,1,0,0,8,0,0,5,0,1,8,0.28571428600000004,7,2
20170331KTSK0,2017-03-31,SK,KT,0,B,36,33,2,2,8,1,0,0,1,0,1,0,0,0,1,8,1,1,7,0.4,5,2
20170331KTSK0,2017-03-31,KT,SK,0,T,37,35,3,3,9,2,0,1,0,1,0,0,2,1,0,8,1,1,7,0.2,5,1
20170331LGWO0,2017-03-31,WO,LG,0,B,34,30,1,1,5,2,1,0,0,0,0,0,4,0,0,6,2,1,6,0.0,8,0
20170331LGWO0,2017-03-31,LG,WO,0,T,34,31,1,2,4,0,0,1,0,0,0,0,3,0,0,10,1,0,5,0.0,2,0
20170331LTNC0,2017-03-31,NC,LT,0,B,38,32,6,6,11,5,0,1,2,2,0,0,4,0,2,9,0,2,8,0.384615385,13,5
20170331LTNC0,2017-03-31,LT,NC,0,T,34,33,3,5,7,2,0,1,0,1,0,0,0,0,1,8,0,2,2,0.666666667,3,2
20170401HHOB0,2017-04-01,OB,HH,0,B,49,42,4,5,9,0,0,1,1,0,0,1,6,0,0,7,0,0,11,0.28571428600000004,7,2
20170401HHOB0,2017-04-01,HH,OB,0,T,54,44,6,6,16,2,0,1,0,0,4,0,6,1,0,8,0,1,15,0.15,20,3
20170401HTSS0,2017-04-01,SS,HT,0,B,47,39,6,7,10,1,0,1,1,0,1,0,4,1,3,8,0,0,10,0.333333333,12,4
20170401HTSS0,2017-04-01,HT,SS,0,T,49,43,8,9,14,2,1,0,0,0,1,1,3,1,1,9,0,1,10,0.5,14,7
20170401KTSK0,2017-04-01,SK,KT,0,B,32,32,0,0,7,0,0,0,0,1,0,0,0,0,0,5,1,0,5,0.0,4,0
20170401KTSK0,2017-04-01,KT,SK,0,T,30,30,2,2,3,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0.0,0,0
20170401LGWO0,2017-04-01,WO,LG,0,B,40,37,3,3,12,3,0,0,1,0,0,0,2,0,1,9,1,0,10,0.3,10,3
20170401LGWO0,2017-04-01,LG,WO,0,T,39,36,8,8,11,5,0,2,1,0,1,0,1,0,1,9,0,0,4,0.363636364,11,4
20170401LTNC0,2017-04-01,NC,LT,0,B,38,35,0,0,7,0,0,0,0,0,0,0,3,0,0,9,0,1,11,0.0,6,0
20170401LTNC0,2017-04-01,LT,NC,0,T,38,32,3,3,6,2,0,0,0,0,1,0,4,0,1,11,0,1,8,0.375,8,3
20170402HHOB0,2017-04-02,OB,HH,0,B,46,40,4,5,8,0,0,2,0,0,1,0,5,1,0,7,2,1,7,0.25,4,1
20170402HHOB0,2017-04-02,HH,OB,0,T,54,44,4,4,8,1,1,1,2,0,0,0,7,0,3,9,0,2,14,0.181818182,11,2
20170402HTSS0,2017-04-02,SS,HT,0,B,48,40,15,16,17,2,1,2,1,0,1,1,4,0,2,6,1,1,8,0.5,18,9
20170402HTSS0,2017-04-02,HT,SS,0,T,40,38,2,3,10,3,0,1,0,0,0,0,2,0,0,12,0,2,10,0.166666667,12,2
20170402KTSK0,2017-04-02,SK,KT,0,B,28,28,1,1,3,0,0,1,0,0,0,0,0,0,0,4,2,1,0,0.0,0,0
20170402KTSK0,2017-04-02,KT,SK,0,T,46,38,7,8,11,1,0,2,1,0,0,1,7,0,0,6,0,0,11,0.375,8,3
20170402LGWO0,2017-04-02,WO,LG,0,B,33,28,1,2,3,1,0,0,1,1,0,1,4,0,0,6,0,1,4,0.0,4,0
20170402LGWO0,2017-04-02,LG,WO,0,T,41,36,7,9,10,2,0,1,1,1,0,0,5,0,0,9,0,1,5,0.375,8,3
20170402LTNC0,2017-04-02,NC,LT,0,B,36,31,4,4,4,0,1,0,2,0,0,0,4,0,1,10,1,0,5,0.25,8,2
20170402LTNC0,2017-04-02,LT,NC,0,T,45,37,12,12,13,2,0,5,1,0,0,1,5,0,2,10,1,1,6,0.4,10,4
