게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,타자,타수,타점,득점,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고의4구,사구,삼진,병살타,실책,잔루,득점권타율,득점권타수,득점권안타
20160401HHLG0,2016-04-01,LG,HH,0,B,47,42,4,5,9,2,0,1,2,1,1,0,4,0,0,11,0,0,8,0.333333333,12,4
20160401HHLG0,2016-04-01,HH,LG,0,T,52,46,4,4,13,2,0,0,0,0,3,0,3,0,0,10,1,2,12,0.2,15,3
20160401HTNC0,2016-04-01,NC,HT,0,B,36,30,5,5,9,2,0,2,0,0,1,0,5,0,0,9,1,1,7,0.14285714300000002,7,1
20160401HTNC0,2016-04-01,HT,NC,0,T,38,34,3,4,8,3,0,1,0,0,0,0,3,0,1,10,1,0,7,0.1,10,1
20160401KTSK0,2016-04-01,SK,KT,0,B,36,36,4,4,10,5,0,1,0,0,0,0,0,0,0,7,1,1,5,0.375,8,3
20160401KTSK0,2016-04-01,KT,SK,0,T,42,36,7,8,11,0,0,2,2,1,0,1,4,0,1,7,0,0,7,0.28571428600000004,7,2
20160401LTWO0,2016-04-01,WO,LT,0,B,36,30,1,1,6,1,0,0,0,2,0,1,5,0,0,6,0,1,8,0.0,5,0
20160401LTWO0,2016-04-01,LT,WO,0,T,39,37,1,2,11,2,0,0,1,0,0,0,2,0,0,6,2,0,10,0.071428571,14,1
20160401OBSS0,2016-04-01,SS,OB,0,B,35,32,1,1,8,0,0,0,1,1,0,0,2,0,1,6,2,1,7,0.25,4,1
20160401OBSS0,2016-04-01,OB,SS,0,T,37,31,4,5,8,0,0,2,2,1,1,1,3,0,1,3,1,0,5,0.14285714300000002,7,1
20160402HHLG0,2016-04-02,LG,HH,0,B,49,40,8,8,12,2,1,1,1,2,0,0,8,0,1,9,0,1,11,0.3,10,3
20160402HHLG0,2016-04-02,HH,LG,0,T,50,43,7,7,13,4,0,0,0,1,2,0,3,1,2,9,0,1,10,0.333333333,15,5
20160402HTNC0,2016-04-02,NC,HT,0,B,36,33,3,3,7,1,0,1,1,0,0,0,2,0,1,5,1,0,6,0.0,4,0
20160402HTNC0,2016-04-02,HT,NC,0,T,39,33,4,4,8,2,0,1,1,1,1,0,5,0,0,8,0,0,8,0.428571429,7,3
20160402KTSK0,2016-04-02,SK,KT,0,B,44,37,4,4,10,2,0,1,2,0,0,0,6,2,1,6,1,1,12,0.111111111,9,1
20160402KTSK0,2016-04-02,KT,SK,0,T,41,34,3,3,8,0,0,0,0,2,1,0,6,0,0,3,2,1,8,0.375,8,3
20160402LTWO0,2016-04-02,WO,LT,0,B,35,30,5,5,9,0,0,0,1,1,0,0,4,0,1,6,1,0,6,0.375,8,3
20160402LTWO0,2016-04-02,LT,WO,0,T,39,34,3,3,8,3,0,0,2,1,0,0,5,0,0,9,0,1,9,0.181818182,11,2
20160402OBSS0,2016-04-02,SS,OB,0,B,41,36,10,10,16,3,1,2,1,1,2,0,2,0,1,7,1,0,7,0.454545455,11,5
20160402OBSS0,2016-04-02,OB,SS,0,T,42,38,6,6,12,6,0,1,1,0,0,0,4,0,0,6,1,0,9,0.1875,16,3
20160403KTSK0,2016-04-03,SK,KT,0,B,38,32,4,4,8,2,0,0,1,1,0,1,3,0,2,4,0,0,7,0.125,8,1
20160403KTSK0,2016-04-03,KT,SK,0,T,40,33,5,5,7,2,0,1,0,1,0,0,6,0,1,9,0,0,8,0.3,10,3
20160403LTWO0,2016-04-03,WO,LT,0,B,42,34,6,6,11,2,0,0,3,0,1,0,7,1,0,7,0,1,11,0.35714285700000004,14,5
20160403LTWO0,2016-04-03,LT,WO,0,T,43,38,5,5,12,1,1,0,0,0,0,1,4,0,0,5,1,0,11,0.4166666670000001,12,5
20160405LGHT0,2016-04-05,HT,LG,0,B,31,28,4,4,6,1,0,1,0,0,0,0,3,0,0,10,2,0,3,0.25,4,1
