게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수명,선발,타순,타자,타수,타점,득점,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고의4구,사구,삼진,병살타,실책,잔루,득점권타율,득점권타수,득점권안타
20190323HHOB0,2019-03-23,HH,OB,0,T,김민하,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20190323HHOB0,2019-03-23,OB,HH,0,B,박세혁,1,8,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20190323HHOB0,2019-03-23,HH,OB,0,T,하주석,1,6,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.0,3,0
20190323HHOB0,2019-03-23,HH,OB,0,T,양성우,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0
20190323HHOB0,2019-03-23,HH,OB,0,T,호잉,1,3,5,4,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0.0,1,0
20190323HHOB0,2019-03-23,HH,OB,0,T,정은원,1,9,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0.0,1,0
20190323HHOB0,2019-03-23,OB,HH,0,B,페르난데스,1,6,4,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,2,2
20190323HHOB0,2019-03-23,HH,OB,0,T,김태균,1,4,5,4,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0.5,2,1
20190323HHOB0,2019-03-23,HH,OB,0,T,이성열,1,5,5,2,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0.0,1,0
20190323HHOB0,2019-03-23,OB,HH,0,B,김재호,1,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0
20190323HHOB0,2019-03-23,OB,HH,0,B,오재일,1,5,4,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,1,0
20190323HHOB0,2019-03-23,HH,OB,0,T,정근우,1,1,5,5,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0
20190323HHOB0,2019-03-23,HH,OB,0,T,송광민,1,2,5,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0,0
20190323HHOB0,2019-03-23,OB,HH,0,B,오재원,1,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0
20190323HHOB0,2019-03-23,OB,HH,0,B,김재환,1,4,4,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0.0,0,0
20190323HHOB0,2019-03-23,HH,OB,0,T,최재훈,1,8,4,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1,1
20190323HHOB0,2019-03-23,OB,HH,0,B,박건우,1,3,4,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20190323HHOB0,2019-03-23,OB,HH,0,B,정수빈,1,2,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0
20190323HHOB0,2019-03-23,OB,HH,0,B,허경민,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
20190323KTSK0,2019-03-23,KT,SK,0,T,이해창,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
20190323KTSK0,2019-03-23,KT,SK,0,T,오태곤,1,7,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,1,0
20190323KTSK0,2019-03-23,SK,KT,0,B,최항,1,8,4,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.0,1,0
