게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수명,선발,구원,완투,종료,결과,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP
20190323HHOB0,2019-03-23,HH,OB,0,T,이태양,0,1,0,1, ,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0
20190323HHOB0,2019-03-23,OB,HH,0,B,윤명준,0,1,0,0, ,0,2,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0,1.5,1.5
20190323HHOB0,2019-03-23,OB,HH,0,B,함덕주,0,1,0,1,S,0,2,15,4,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.5,3.0,6.0
20190323HHOB0,2019-03-23,OB,HH,0,B,린드블럼,1,0,0,0, ,0,17,93,27,24,9,1,0,0,0,1,0,0,2,0,1,5,1,0,0,0,2,2,1.0,1.941176471,3.75
20190323HHOB0,2019-03-23,HH,OB,0,T,김범수,0,1,0,0,L,0,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
20190323HHOB0,2019-03-23,OB,HH,0,B,박치국,0,1,0,0,W,0,2,13,4,3,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,3.0,3.0,0.0
20190323HHOB0,2019-03-23,HH,OB,0,T,박상원,0,1,0,0, ,0,4,11,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0
20190323HHOB0,2019-03-23,HH,OB,0,T,서폴드,1,0,0,0, ,0,17,104,24,21,5,0,0,1,0,0,0,0,3,0,0,1,1,1,0,0,3,3,6.0,1.411764706,2.4
20190323HHOB0,2019-03-23,OB,HH,0,B,김승회,0,1,0,0, ,0,2,17,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.5,0.0
20190323HHOB0,2019-03-23,HH,OB,0,T,송은범,0,1,0,0, ,0,2,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
