게임키,일자,원정팀코드,홈팀코드,더블헤더코드,요일,구장
20190323HHOB0,2019-03-23,HH,OB,0,토,잠실
20190323KTSK0,2019-03-23,KT,SK,0,토,문학
20190323LGHT0,2019-03-23,LG,HT,0,토,광주
20190323SSNC0,2019-03-23,SS,NC,0,토,창원
20190323WOLT0,2019-03-23,WO,LT,0,토,사직
20190324HHOB0,2019-03-24,HH,OB,0,일,잠실
20190324KTSK0,2019-03-24,KT,SK,0,일,문학
20190324LGHT0,2019-03-24,LG,HT,0,일,광주
20190324SSNC0,2019-03-24,SS,NC,0,일,창원
20190324WOLT0,2019-03-24,WO,LT,0,일,사직
20190326HHHT0,2019-03-26,HH,HT,0,화,광주
20190326KTNC0,2019-03-26,KT,NC,0,화,창원
20190326LGSK0,2019-03-26,LG,SK,0,화,문학
20190326SSLT0,2019-03-26,SS,LT,0,화,사직
20190326WOOB0,2019-03-26,WO,OB,0,화,잠실
20190327HHHT0,2019-03-27,HH,HT,0,수,광주
20190327KTNC0,2019-03-27,KT,NC,0,수,창원
20190327LGSK0,2019-03-27,LG,SK,0,수,문학
20190327SSLT0,2019-03-27,SS,LT,0,수,사직
20190327WOOB0,2019-03-27,WO,OB,0,수,잠실
20190328HHHT0,2019-03-28,HH,HT,0,목,광주
20190328KTNC0,2019-03-28,KT,NC,0,목,창원
20190328LGSK0,2019-03-28,LG,SK,0,목,문학
20190328SSLT0,2019-03-28,SS,LT,0,목,사직
20190328WOOB0,2019-03-28,WO,OB,0,목,잠실
20190329HTKT0,2019-03-29,HT,KT,0,금,수원
20190329LTLG0,2019-03-29,LT,LG,0,금,잠실
20190329NCHH0,2019-03-29,NC,HH,0,금,대전
20190329OBSS0,2019-03-29,OB,SS,0,금,대구
20190329SKWO0,2019-03-29,SK,WO,0,금,고척
20190330HTKT0,2019-03-30,HT,KT,0,토,수원
20190330LTLG0,2019-03-30,LT,LG,0,토,잠실
20190330NCHH0,2019-03-30,NC,HH,0,토,대전
20190330OBSS0,2019-03-30,OB,SS,0,토,대구
20190330SKWO0,2019-03-30,SK,WO,0,토,고척
20190331HTKT0,2019-03-31,HT,KT,0,일,수원
20190331LTLG0,2019-03-31,LT,LG,0,일,잠실
20190331NCHH0,2019-03-31,NC,HH,0,일,대전
20190331OBSS0,2019-03-31,OB,SS,0,일,대구
20190331SKWO0,2019-03-31,SK,WO,0,일,고척
20190402HTSS0,2019-04-02,HT,SS,0,화,대구
20190402KTOB0,2019-04-02,KT,OB,0,화,잠실
20190402LGHH0,2019-04-02,LG,HH,0,화,대전
20190402LTSK0,2019-04-02,LT,SK,0,화,문학
20190402WONC0,2019-04-02,WO,NC,0,화,창원
20190403HTSS0,2019-04-03,HT,SS,0,수,대구
20190403KTOB0,2019-04-03,KT,OB,0,수,잠실
20190403LGHH0,2019-04-03,LG,HH,0,수,대전
20190403LTSK0,2019-04-03,LT,SK,0,수,문학
20190403WONC0,2019-04-03,WO,NC,0,수,창원
20190404HTSS0,2019-04-04,HT,SS,0,목,대구
20190404KTOB0,2019-04-04,KT,OB,0,목,잠실
20190404LGHH0,2019-04-04,LG,HH,0,목,대전
20190404LTSK0,2019-04-04,LT,SK,0,목,문학
20190404WONC0,2019-04-04,WO,NC,0,목,창원
20190405HHLT0,2019-04-05,HH,LT,0,금,사직
20190405LGKT0,2019-04-05,LG,KT,0,금,수원
20190405NCOB0,2019-04-05,NC,OB,0,금,잠실
20190405SSSK0,2019-04-05,SS,SK,0,금,문학
20190405WOHT0,2019-04-05,WO,HT,0,금,광주
20190406HHLT0,2019-04-06,HH,LT,0,토,사직
20190406LGKT0,2019-04-06,LG,KT,0,토,수원
20190406NCOB0,2019-04-06,NC,OB,0,토,잠실
20190406SSSK0,2019-04-06,SS,SK,0,토,문학
20190406WOHT0,2019-04-06,WO,HT,0,토,광주
20190407HHLT0,2019-04-07,HH,LT,0,일,사직
20190407LGKT0,2019-04-07,LG,KT,0,일,수원
20190407NCOB0,2019-04-07,NC,OB,0,일,잠실
20190407SSSK0,2019-04-07,SS,SK,0,일,문학
20190409KTWO0,2019-04-09,KT,WO,0,화,고척
20190410KTWO0,2019-04-10,KT,WO,0,수,고척
20190410NCHT0,2019-04-10,NC,HT,0,수,광주
20190410OBLT0,2019-04-10,OB,LT,0,수,사직
20190410SKHH0,2019-04-10,SK,HH,0,수,대전
20190410SSLG0,2019-04-10,SS,LG,0,수,잠실
20190411KTWO0,2019-04-11,KT,WO,0,목,고척
20190411NCHT0,2019-04-11,NC,HT,0,목,광주
20190411OBLT0,2019-04-11,OB,LT,0,목,사직
20190411SKHH0,2019-04-11,SK,HH,0,목,대전
20190411SSLG0,2019-04-11,SS,LG,0,목,잠실
20190412HHWO0,2019-04-12,HH,WO,0,금,고척
20190412HTSK0,2019-04-12,HT,SK,0,금,문학
20190412KTSS0,2019-04-12,KT,SS,0,금,대구
20190412LTNC0,2019-04-12,LT,NC,0,금,창원
20190412OBLG0,2019-04-12,OB,LG,0,금,잠실
20190413HHWO0,2019-04-13,HH,WO,0,토,고척
20190413HTSK0,2019-04-13,HT,SK,0,토,문학
20190413KTSS0,2019-04-13,KT,SS,0,토,대구
20190413LTNC0,2019-04-13,LT,NC,0,토,창원
20190413OBLG0,2019-04-13,OB,LG,0,토,잠실
20190414HHWO0,2019-04-14,HH,WO,0,일,고척
20190414HTSK0,2019-04-14,HT,SK,0,일,문학
20190414KTSS0,2019-04-14,KT,SS,0,일,대구
20190414LTNC0,2019-04-14,LT,NC,0,일,창원
20190414OBLG0,2019-04-14,OB,LG,0,일,잠실
20190416HHKT0,2019-04-16,HH,KT,0,화,수원
20190416HTLT0,2019-04-16,HT,LT,0,화,사직
20190416LGNC0,2019-04-16,LG,NC,0,화,창원
20190416SKOB0,2019-04-16,SK,OB,0,화,잠실
20190416WOSS0,2019-04-16,WO,SS,0,화,포항
20190417HHKT0,2019-04-17,HH,KT,0,수,수원
20190417HTLT0,2019-04-17,HT,LT,0,수,사직
20190417LGNC0,2019-04-17,LG,NC,0,수,창원
20190417SKOB0,2019-04-17,SK,OB,0,수,잠실
20190417WOSS0,2019-04-17,WO,SS,0,수,포항
20190418HHKT0,2019-04-18,HH,KT,0,목,수원
20190418HTLT0,2019-04-18,HT,LT,0,목,사직
20190418LGNC0,2019-04-18,LG,NC,0,목,창원
20190418SKOB0,2019-04-18,SK,OB,0,목,잠실
20190418WOSS0,2019-04-18,WO,SS,0,목,포항
20190419KTLT0,2019-04-19,KT,LT,0,금,사직
20190419NCSK0,2019-04-19,NC,SK,0,금,문학
20190419OBHT0,2019-04-19,OB,HT,0,금,광주
20190419SSHH0,2019-04-19,SS,HH,0,금,대전
20190419WOLG0,2019-04-19,WO,LG,0,금,잠실
20190420KTLT0,2019-04-20,KT,LT,0,토,사직
20190420NCSK0,2019-04-20,NC,SK,0,토,문학
20190420OBHT0,2019-04-20,OB,HT,0,토,광주
20190420SSHH0,2019-04-20,SS,HH,0,토,대전
20190420WOLG0,2019-04-20,WO,LG,0,토,잠실
