일자,팀코드,선수명,등록말소
2016-04-01,HH,송주호,Y
2016-04-01,HH,이종환,Y
2016-04-01,HH,김경태,Y
2016-04-01,HH,김용주,N
2016-04-01,HH,이태양,N
2016-04-01,HH,최윤석,Y
2016-04-01,HH,문재현,N
2016-04-01,HH,강경학,N
2016-04-01,HH,하주석,Y
2016-04-01,HH,김원석,N
2016-04-01,HH,윤승열,N
2016-04-01,HH,양성우,N
2016-04-01,HH,임준섭,N
2016-04-01,HH,송창현,N
2016-04-01,HH,장운호,N
2016-04-01,HH,신성현,Y
2016-04-01,HH,이창열,N
2016-04-01,HH,주현상,N
2016-04-01,HH,로저스,N
2016-04-01,HH,김민우,Y
2016-04-01,HH,김범수,N
2016-04-01,HH,이동훈,N
2016-04-01,HH,권용우,N
2016-04-01,HH,강상원,N
2016-04-01,HH,로사리오,Y
2016-04-01,HH,김재영,Y
2016-04-01,HH,마에스트리,Y
2016-04-01,HH,배영수,N
2016-04-01,HH,이재우,Y
2016-04-01,HH,장민석,Y
2016-04-01,HH,김경언,Y
2016-04-01,HH,김태균,Y
2016-04-01,HH,권혁,Y
2016-04-01,HH,이성열,Y
2016-04-01,HH,차일목,Y
2016-04-01,HH,안영명,N
2016-04-01,HH,윤규진,N
2016-04-01,HH,송은범,Y
2016-04-01,HH,이용규,N
2016-04-01,HH,심수창,N
2016-04-01,HH,이시찬,N
2016-04-01,HH,최진행,Y
2016-04-01,HH,송창식,Y
2016-04-01,HH,고동진,N
2016-04-01,HH,정재원,N
2016-04-01,HH,박노민,N
2016-04-01,HH,정우람,Y
2016-04-01,HH,정근우,Y
2016-04-01,HH,황선일,N
2016-04-01,HH,정범모,N
2016-04-01,HH,김태완,N
2016-04-01,HH,송광민,N
2016-04-01,HH,허도환,N
2016-04-01,HH,오선진,N
2016-04-01,HH,정대훈,Y
2016-04-01,HH,정현석,N
2016-04-01,HH,김회성,N
2016-04-01,HH,구본범,N
2016-04-01,HH,장민재,Y
2016-04-01,HH,윤중환,N
2016-04-01,HH,권용관,Y
2016-04-01,HH,조인성,Y
2016-04-01,HH,송신영,N
2016-04-01,HH,박정진,Y
2016-04-01,HT,최영필,Y
2016-04-01,HT,정용운,N
2016-04-01,HT,김다원,Y
2016-04-01,HT,나지완,Y
2016-04-01,HT,백용환,Y
2016-04-01,HT,최용규,N
2016-04-01,HT,한기주,Y
2016-04-01,HT,양현종,Y
2016-04-01,HT,이호신,N
2016-04-01,HT,신창호,N
2016-04-01,HT,김주형,Y
2016-04-01,HT,윤석민,N
2016-04-01,HT,곽정철,Y
2016-04-01,HT,임준혁,N
2016-04-01,HT,신종길,N
2016-04-01,HT,김진우,N
2016-04-01,HT,김민우,Y
2016-04-01,HT,배힘찬,N
2016-04-01,HT,이성우,Y
2016-04-01,HT,김원섭,Y
2016-04-01,HT,이범호,Y
2016-04-01,HT,김광수,Y
2016-04-01,HT,김주찬,Y
2016-04-01,HT,최원준,N
2016-04-01,HT,지크,Y
2016-04-01,HT,김현준,N
2016-04-01,HT,헥터,N
2016-04-01,HT,이진영,N
2016-04-01,HT,정동현,N
2016-04-01,HT,남재현,N
2016-04-01,HT,신범수,N
2016-04-01,HT,서덕원,N
2016-04-01,HT,황대인,N
2016-04-01,HT,박동민,N
2016-04-01,HT,김호령,Y
2016-04-01,HT,이준영,N
2016-04-01,HT,김명찬,N
2016-04-01,HT,노수광,N
2016-04-01,HT,한승택,N
2016-04-01,HT,강한울,N
2016-04-01,HT,박찬호,Y
2016-04-01,HT,박진두,N
2016-04-01,HT,필,Y
2016-04-01,HT,이홍구,Y
2016-04-01,HT,고영우,Y
2016-04-01,HT,박준표,N
2016-04-01,HT,오준혁,Y
2016-04-01,HT,김윤동,Y
2016-04-01,HT,윤완주,Y
2016-04-01,HT,유창식,N
2016-04-01,HT,김병현,N
2016-04-01,HT,홍건희,Y
2016-04-01,HT,윤정우,N
2016-04-01,HT,한승혁,N
2016-04-01,HT,홍재호,N
2016-04-01,HT,임기준,N
2016-04-01,HT,심동섭,Y
2016-04-01,HT,이인행,N
2016-04-01,HT,최병연,N
2016-04-01,kt,이해창,N
2016-04-01,kt,최원재,N
2016-04-01,kt,김선민,Y
2016-04-01,kt,정대현,Y
2016-04-01,kt,안정광,N
2016-04-01,kt,채선관,N
2016-04-01,kt,김진곤,N
2016-04-01,kt,김영환,N
2016-04-01,kt,배병옥,Y
2016-04-01,kt,고영표,Y
2016-04-01,kt,김민혁,N
2016-04-01,kt,심우준,Y
2016-04-01,kt,문상철,Y
2016-04-01,kt,심재민,N
2016-04-01,kt,조무근,Y
2016-04-01,kt,류희운,N
2016-04-01,kt,안상빈,N
2016-04-01,kt,마르테,Y
2016-04-01,kt,김태훈,N
2016-04-01,kt,홍성무,N
2016-04-01,kt,김만수,N
2016-04-01,kt,김민수,N
2016-04-01,kt,엄상백,Y
2016-04-01,kt,이창재,N
2016-04-01,kt,정성곤,N
2016-04-01,kt,주권,N
2016-04-01,kt,김재윤,Y
2016-04-01,kt,강승훈,N
2016-04-01,kt,피노,Y
2016-04-01,kt,한승지,N
2016-04-01,kt,박세진,N
2016-04-01,kt,마리몬,Y
2016-04-01,kt,남태혁,N
2016-04-01,kt,서의태,N
2016-04-01,kt,밴와트,N
2016-04-01,kt,박기혁,Y
2016-04-01,kt,김상현,Y
2016-04-01,kt,유한준,Y
2016-04-01,kt,이대형,Y
2016-04-01,kt,박경수,Y
2016-04-01,kt,윤근영,N
2016-04-01,kt,홍성용,Y
2016-04-01,kt,최대성,N
2016-04-01,kt,신현철,N
2016-04-01,kt,김동명,Y
2016-04-01,kt,이상화,N
2016-04-01,kt,김연훈,Y
2016-04-01,kt,박용근,N
2016-04-01,kt,모상기,N
2016-04-01,kt,장시환,Y
2016-04-01,kt,이희근,N
2016-04-01,kt,김사연,Y
2016-04-01,kt,윤요섭,Y
2016-04-01,kt,전민수,N
2016-04-01,kt,하준호,Y
2016-04-01,kt,장성우,N
2016-04-01,kt,오정복,N
2016-04-01,kt,배우열,Y
2016-04-01,kt,김종민,Y
2016-04-01,kt,이진영,Y
2016-04-01,kt,김사율,Y
2016-04-01,LG,정성훈,Y
2016-04-01,LG,정현욱,N
2016-04-01,LG,이병규,N
2016-04-01,LG,김광삼,N
2016-04-01,LG,최동환,Y
2016-04-01,LG,정주현,Y
2016-04-01,LG,전인환,N
2016-04-01,LG,채은성,Y
2016-04-01,LG,윤진호,Y
2016-04-01,LG,이형종,N
2016-04-01,LG,정찬헌,N
2016-04-01,LG,김용의,Y
2016-04-01,LG,오지환,N
2016-04-01,LG,문선재,N
2016-04-01,LG,봉중근,N
2016-04-01,LG,진해수,Y
2016-04-01,LG,이범준,N
2016-04-01,LG,이병규,Y
2016-04-01,LG,유원상,N
2016-04-01,LG,임훈,Y
2016-04-01,LG,우규민,N
2016-04-01,LG,최경철,N
2016-04-01,LG,장진용,N
2016-04-01,LG,박용택,Y
