게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수명,선발,구원,완투,종료,결과,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP
20170331HHOB0,2017-03-31,OB,HH,0,B,니퍼트,1,0,0,0,W,0,24,112,30,26,4,0,0,0,0,1,1,0,3,0,0,7,0,1,0,0,0,0,0.6,0.857142857,1.5
20170331HHOB0,2017-03-31,HH,OB,0,T,비야누에바,1,0,0,0,L,0,18,89,22,18,1,1,0,0,2,0,0,2,0,0,2,6,0,0,0,0,2,0,0.0,0.166666667,0.0
20170331HHOB0,2017-03-31,OB,HH,0,B,김성배,0,1,0,1,S,0,3,17,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20170331HHOB0,2017-03-31,HH,OB,0,T,심수창,0,1,0,1, ,0,3,22,6,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0,1.5
20170331HHOB0,2017-03-31,HH,OB,0,T,송창식,0,1,0,0, ,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20170331HHOB0,2017-03-31,HH,OB,0,T,장민재,0,1,0,0, ,0,2,18,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0
20170331HHOB0,2017-03-31,HH,OB,0,T,박정진,0,1,0,0, ,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0
20170331HTSS0,2017-03-31,HT,SS,0,T,심동섭,0,1,0,0, ,0,3,11,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0
20170331HTSS0,2017-03-31,SS,HT,0,B,김대우,0,1,0,0, ,0,2,6,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20170331HTSS0,2017-03-31,HT,SS,0,T,임기영,0,1,0,1, ,0,3,13,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.5
