게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,타자,타수,타점,득점,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고의4구,사구,삼진,병살타,실책,잔루,득점권타율,득점권타수,득점권안타
20190323HHOB0,2019-03-23,HH,OB,0,T,42,34,4,4,12,1,0,0,0,1,1,1,5,0,1,7,2,1,11,0.2,10,2
20190323LGHT0,2019-03-23,HT,LG,0,B,33,28,0,0,3,1,0,0,0,0,1,0,3,0,1,6,1,0,6,0.0,9,0
20190323KTSK0,2019-03-23,KT,SK,0,T,39,36,4,4,9,0,0,1,0,0,0,0,3,0,0,10,1,1,8,0.2,10,2
20190323LGHT0,2019-03-23,LG,HT,0,T,34,31,2,2,8,3,0,0,0,0,0,0,3,0,0,12,3,0,5,0.14285714300000002,7,1
20190323WOLT0,2019-03-23,LT,WO,0,B,37,35,4,4,7,2,0,0,1,0,0,0,1,0,1,11,0,2,6,0.230769231,13,3
20190323SSNC0,2019-03-23,NC,SS,0,B,36,31,7,7,8,0,0,3,0,1,0,0,5,0,0,7,0,2,5,0.25,4,1
20190323HHOB0,2019-03-23,OB,HH,0,B,33,28,5,5,6,1,0,1,0,0,0,0,5,0,0,3,1,0,4,0.5,4,2
20190323KTSK0,2019-03-23,SK,KT,0,B,37,31,6,7,8,1,0,2,1,0,0,0,6,0,0,5,1,1,6,0.375,8,3
20190323SSNC0,2019-03-23,SS,NC,0,T,31,29,0,0,4,0,0,0,0,0,0,0,2,0,0,5,3,0,4,0.0,3,0
20190323WOLT0,2019-03-23,WO,LT,0,T,44,40,7,7,14,1,0,2,0,1,1,0,3,0,0,7,1,2,10,0.294117647,17,5
20190324HHOB0,2019-03-24,HH,OB,0,T,43,37,10,11,9,2,0,0,0,0,0,1,5,0,0,11,1,0,5,0.5,10,5
20190324LGHT0,2019-03-24,HT,LG,0,B,36,36,3,3,9,2,0,0,0,0,0,0,0,0,0,10,1,2,6,0.25,8,2
20190324KTSK0,2019-03-24,KT,SK,0,T,37,33,3,3,7,1,0,0,6,1,0,0,3,0,1,10,0,1,7,0.272727273,11,3
20190324LGHT0,2019-03-24,LG,HT,0,T,46,40,8,9,12,3,0,2,1,1,0,0,6,0,0,5,0,0,10,0.272727273,11,3
20190324WOLT0,2019-03-24,LT,WO,0,B,35,31,6,6,9,2,0,1,1,0,2,0,2,0,0,7,0,1,5,0.28571428600000004,7,2
20190324SSNC0,2019-03-24,NC,SS,0,B,38,37,3,3,8,0,0,1,1,0,0,0,0,0,1,5,0,2,8,0.125,8,1
20190324HHOB0,2019-03-24,OB,HH,0,B,30,28,1,1,3,0,0,0,0,0,0,0,1,0,1,8,2,3,2,0.333333333,3,1
20190324KTSK0,2019-03-24,SK,KT,0,B,36,33,6,6,9,1,0,2,4,0,0,0,3,0,0,5,0,0,6,0.333333333,9,3
20190324SSNC0,2019-03-24,SS,NC,0,T,42,30,3,4,5,2,0,0,0,0,2,0,7,0,3,7,0,2,11,0.125,16,2
20190324WOLT0,2019-03-24,WO,LT,0,T,35,33,2,2,6,2,0,0,0,1,0,0,2,0,0,12,0,1,6,0.333333333,6,2
