게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수명,선발,구원,완투,종료,결과,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP
20180324HHWO0,2018-03-24,WO,HH,0,B,조상우,0,1,0,1,S,0,3,21,5,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0
20180324HHWO0,2018-03-24,HH,WO,0,T,서균,0,1,0,0, ,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20180324HHWO0,2018-03-24,WO,HH,0,B,로저스,1,0,0,0,W,0,20,106,27,26,9,0,1,0,1,0,0,0,1,0,0,6,0,0,0,1,3,2,1.5,1.6,2.5
20180324HHWO0,2018-03-24,HH,WO,0,T,김범수,0,1,0,0, ,0,2,13,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0
20180324HHWO0,2018-03-24,HH,WO,0,T,박상원,0,1,0,1, ,0,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20180324HHWO0,2018-03-24,HH,WO,0,T,박주홍,0,1,0,0, ,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20180324HHWO0,2018-03-24,HH,WO,0,T,샘슨,1,0,0,0,L,0,12,110,25,21,8,2,0,1,2,0,0,0,4,0,0,8,0,2,0,0,6,5,3.6,3.0,3.0
20180324HHWO0,2018-03-24,HH,WO,0,T,송은범,0,1,0,0, ,0,2,14,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20180324HHWO0,2018-03-24,HH,WO,0,T,심수창,0,1,0,0, ,0,2,16,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0
20180324HHWO0,2018-03-24,WO,HH,0,B,이보근,0,1,0,0, ,1,1,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0
20180324HHWO0,2018-03-24,WO,HH,0,B,김상수,0,1,0,0, ,1,3,17,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.5
20180324KTHT0,2018-03-24,HT,KT,0,B,임기준,0,1,0,0, ,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20180324KTHT0,2018-03-24,HT,KT,0,B,김윤동,0,1,0,0,L,0,5,21,6,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0.6,1.5
20180324KTHT0,2018-03-24,KT,HT,0,T,심재민,0,1,0,0,W,0,3,23,6,2,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,2,2,1.5,2.0,3.0
20180324KTHT0,2018-03-24,KT,HT,0,T,엄상백,0,1,0,1,S,0,3,8,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0
20180324KTHT0,2018-03-24,KT,HT,0,T,피어밴드,1,0,0,0, ,0,15,100,25,22,8,1,0,0,0,0,1,0,1,0,1,5,0,0,0,0,2,2,1.285714286,1.8,3.75
20180324KTHT0,2018-03-24,HT,KT,0,B,헥터,1,0,0,0, ,0,16,110,25,24,9,1,0,2,0,0,0,0,1,0,0,6,0,0,0,0,4,4,6.0,1.875,1.5
20180324KTHT0,2018-03-24,HT,KT,0,B,김세현,0,1,0,1, ,0,3,11,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0
20180324KTHT0,2018-03-24,KT,HT,0,T,이상화,0,1,0,0, ,1,3,16,4,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0
20180324KTHT0,2018-03-24,KT,HT,0,T,고창성,0,1,0,0, ,1,3,18,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0
20180324KTHT0,2018-03-24,HT,KT,0,B,임창용,0,1,0,0, ,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20180324LGNC0,2018-03-24,LG,NC,0,T,신정락,0,1,0,1, ,0,3,18,5,5,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3.0,4.5,3.0
20180324LGNC0,2018-03-24,LG,NC,0,T,임정우,0,1,0,0, ,0,1,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0
20180324LGNC0,2018-03-24,LG,NC,0,T,윌슨,1,0,0,0,L,0,18,103,25,21,5,1,0,0,1,1,0,1,3,0,0,7,0,1,0,0,2,2,0.0,1.333333333,0.857142857
20180324LGNC0,2018-03-24,NC,LG,0,B,왕웨이중,1,0,0,0,W,0,21,89,25,23,6,0,0,0,1,0,0,1,1,0,0,6,1,0,0,0,1,1,0.0,1.0,2.0
20180324LGNC0,2018-03-24,NC,LG,0,B,김진성,0,1,0,0, ,1,3,10,4,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0
20180324LGNC0,2018-03-24,NC,LG,0,B,원종현,0,1,0,1,S,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20180324LGNC0,2018-03-24,LG,NC,0,T,진해수,0,1,0,0, ,0,2,11,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.5,0.0
20180324LGNC0,2018-03-24,NC,LG,0,B,강윤구,0,1,0,0, ,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20180324LTSK0,2018-03-24,SK,LT,0,B,정영일,0,1,0,0, ,1,3,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20180324LTSK0,2018-03-24,LT,SK,0,T,박진형,0,1,0,1, ,0,4,20,4,4,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.75,0.0
20180324LTSK0,2018-03-24,SK,LT,0,B,켈리,1,0,0,0, ,0,15,102,24,21,6,2,0,0,0,0,0,0,3,0,0,10,0,1,0,0,4,3,1.5,1.8,2.4
20180324LTSK0,2018-03-24,LT,SK,0,T,듀브론트,1,0,0,0, ,0,12,104,24,17,5,1,0,0,2,0,0,1,6,0,0,2,0,1,0,0,5,4,2.5,2.75,3.0
20180324LTSK0,2018-03-24,SK,LT,0,B,윤희상,0,1,0,0, ,1,3,16,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
20180324LTSK0,2018-03-24,SK,LT,0,B,박정배,0,1,0,1,S,0,3,13,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20180324LTSK0,2018-03-24,LT,SK,0,T,장시환,0,1,0,0, ,0,6,27,7,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0
20180324LTSK0,2018-03-24,SK,LT,0,B,백인식,0,1,0,0,W,0,3,26,6,4,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,1,1.5,3.0,6.0
20180324LTSK0,2018-03-24,LT,SK,0,T,진명호,0,1,0,0,L,0,2,15,5,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,4.5,0.0
