게임키,일자,원정팀코드,홈팀코드,더블헤더코드,요일,구장
20180324HHWO0,2018-03-24,HH,WO,0,토,고척
20180324KTHT0,2018-03-24,KT,HT,0,토,광주
20180324LGNC0,2018-03-24,LG,NC,0,토,마산
20180324LTSK0,2018-03-24,LT,SK,0,토,문학
20180324SSOB0,2018-03-24,SS,OB,0,토,잠실
20180325HHWO0,2018-03-25,HH,WO,0,일,고척
20180325KTHT0,2018-03-25,KT,HT,0,일,광주
20180325LGNC0,2018-03-25,LG,NC,0,일,마산
20180325LTSK0,2018-03-25,LT,SK,0,일,문학
20180325SSOB0,2018-03-25,SS,OB,0,일,잠실
20180327HHNC0,2018-03-27,HH,NC,0,화,마산
20180327KTSK0,2018-03-27,KT,SK,0,화,문학
20180327LGWO0,2018-03-27,LG,WO,0,화,고척
20180327LTOB0,2018-03-27,LT,OB,0,화,잠실
20180327SSHT0,2018-03-27,SS,HT,0,화,광주
20180328HHNC0,2018-03-28,HH,NC,0,수,마산
20180328KTSK0,2018-03-28,KT,SK,0,수,문학
20180328LGWO0,2018-03-28,LG,WO,0,수,고척
20180328LTOB0,2018-03-28,LT,OB,0,수,잠실
20180328SSHT0,2018-03-28,SS,HT,0,수,광주
20180329HHNC0,2018-03-29,HH,NC,0,목,마산
20180329KTSK0,2018-03-29,KT,SK,0,목,문학
20180329LGWO0,2018-03-29,LG,WO,0,목,고척
20180329LTOB0,2018-03-29,LT,OB,0,목,잠실
20180329SSHT0,2018-03-29,SS,HT,0,목,광주
20180330HTLG0,2018-03-30,HT,LG,0,금,잠실
20180330NCLT0,2018-03-30,NC,LT,0,금,사직
20180330OBKT0,2018-03-30,OB,KT,0,금,수원
20180330SKHH0,2018-03-30,SK,HH,0,금,대전
20180330WOSS0,2018-03-30,WO,SS,0,금,대구
20180331HTLG0,2018-03-31,HT,LG,0,토,잠실
20180331NCLT0,2018-03-31,NC,LT,0,토,사직
20180331OBKT0,2018-03-31,OB,KT,0,토,수원
20180331SKHH0,2018-03-31,SK,HH,0,토,대전
20180331WOSS0,2018-03-31,WO,SS,0,토,대구
20180401HTLG0,2018-04-01,HT,LG,0,일,잠실
20180401NCLT0,2018-04-01,NC,LT,0,일,사직
20180401OBKT0,2018-04-01,OB,KT,0,일,수원
20180401SKHH0,2018-04-01,SK,HH,0,일,대전
20180401WOSS0,2018-04-01,WO,SS,0,일,대구
20180403HTSK0,2018-04-03,HT,SK,0,화,문학
20180403KTWO0,2018-04-03,KT,WO,0,화,고척
20180403LGOB0,2018-04-03,LG,OB,0,화,잠실
20180403LTHH0,2018-04-03,LT,HH,0,화,대전
20180403SSNC0,2018-04-03,SS,NC,0,화,마산
20180404HTSK0,2018-04-04,HT,SK,0,수,문학
20180404KTWO0,2018-04-04,KT,WO,0,수,고척
