일자,팀코드,선수명,등록말소
2019-03-23,HH,백창수,N
2019-03-23,LG,신정락,Y
2019-03-23,SS,이승현,Y
2019-03-23,LG,김지용,N
2019-03-23,HH,김창혁,N
2019-03-23,NC,이재학,Y
2019-03-23,SS,김응민,N
2019-03-23,WO,문성현,N
2019-03-23,KT,김대유,N
2019-03-23,NC,김건태,N
2019-03-23,KT,이해창,Y
2019-03-23,LT,정훈,Y
2019-03-23,KT,오태곤,Y
2019-03-23,LT,박시영,N
2019-03-23,NC,이상호,Y
2019-03-23,HT,홍재호,N
2019-03-23,HT,임기준,N
2019-03-23,HT,이인행,N
2019-03-23,HH,김경태,N
2019-03-23,KT,김용주,N
2019-03-23,HH,이태양,Y
2019-03-23,HH,최윤석,N
2019-03-23,SK,박종훈,N
2019-03-23,LG,문광은,N
2019-03-23,LG,임찬규,Y
2019-03-23,LG,유강남,Y
2019-03-23,OB,정병곤,Y
2019-03-23,LG,김재율,N
2019-03-23,LG,이우찬,Y
2019-03-23,LG,이천웅,Y
2019-03-23,SS,최영진,Y
2019-03-23,LT,김동한,N
2019-03-23,OB,정진호,Y
2019-03-23,OB,이현호,Y
2019-03-23,WO,양현,Y
2019-03-23,OB,강동연,N
2019-03-23,NC,윤지웅,Y
2019-03-23,SK,고종욱,Y
2019-03-23,OB,김도현,N
2019-03-23,SS,김대우,Y
2019-03-23,SS,김헌곤,Y
2019-03-23,WO,윤영삼,N
2019-03-23,SS,임현준,Y
2019-03-23,HH,김민하,Y
2019-03-23,LT,장국헌,N
2019-03-23,LT,허일,N
2019-03-23,LT,김사훈,N
2019-03-23,HT,홍건희,N
2019-03-23,SK,윤정우,N
2019-03-23,HT,한승혁,N
2019-03-23,HH,강경학,N
2019-03-23,KT,오준혁,N
2019-03-23,HH,문재현,N
2019-03-23,SK,정진기,Y
2019-03-23,SK,서진용,Y
2019-03-23,SK,최진호,N
2019-03-23,LG,김정후,N
2019-03-23,NC,이원재,Y
2019-03-23,SK,정영일,N
2019-03-23,LG,최성훈,N
2019-03-23,SK,신동훈,N
2019-03-23,LG,서상우,Y
2019-03-23,OB,류지혁,Y
2019-03-23,OB,윤명준,Y
2019-03-23,OB,박세혁,Y
2019-03-23,OB,변진수,N
2019-03-23,HT,유민상,N
2019-03-23,OB,이동원,N
2019-03-23,WO,박정음,Y
2019-03-23,WO,김규민,Y
2019-03-23,WO,김동준,Y
2019-03-23,WO,한현희,Y
2019-03-23,SS,구자욱,Y
2019-03-23,SS,박찬도,Y
2019-03-23,SS,박해민,Y
2019-03-23,SS,이현동,N
2019-03-23,LT,김원중,Y
2019-03-23,LT,신본기,Y
2019-03-23,LT,김준태,Y
2019-03-23,LT,정태승,N
2019-03-23,HH,임준섭,Y
