,date,game_key,천성호,강현우,윤준혁,한지용,오태곤,박승욱,김영환,김민혁,심우준,문상철,안승한,송민섭,김병희,배정대,조용호,강민국,김태훈,임지한,김성훈,로하스,이재근,강백호,고성민,박민석,박경수,유한준,황재균,허도환,이준수,장성우
10,2020-05-17,20200517SSKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.5, 0.5, 1.0, 1.0, 0.0, 0.5]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0.0, 0.1111111111111111, 0.0, 0.0, 0.125, 0.0]","[1, 7, 0.16666666666666666, 0.16666666666666666, 0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.20588235294117646, 0.24324324324324326, 0.35294117647058826, 0.2857142857142857, 0.14705882352941177, 0.11764705882352941]","[1, 1, 0.28888888888888886, 0.3469387755102041, 0.35555555555555557, 0.2727272727272727, 0.13333333333333333, 0.1111111111111111]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.36363636363636365, 0.4, 0.5151515151515151, 0.5, 0.15151515151515152, 0.15151515151515152]","[1, 3, 0.6666666666666666, 0.6666666666666666, 0.75, 1.0, 0.16666666666666666, 0.25]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.46511627906976744, 0.5106382978723404, 0.7209302325581395, 0.6666666666666666, 0.16279069767441862, 0.13953488372093023]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.3333333333333333, 0.391304347826087, 0.7142857142857143, 0.09090909090909091, 0.19047619047619047, 0.19047619047619047]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.24242424242424243, 0.35, 0.42424242424242425, 0.2, 0.18181818181818182, 0.21212121212121213]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[1, 6, 0.2558139534883721, 0.2978723404255319, 0.37209302325581395, 0.14285714285714285, 0.16279069767441862, 0.13953488372093023]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3225806451612903, 0.35294117647058826, 0.5806451612903226, 0.45454545454545453, 0.12903225806451613, 0.3870967741935484]"
11,2020-05-19,20200519HHKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 1.0, 1.0, 0.0, 0.5]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.1, 0.0, 0.0, 0.1111111111111111, 0.0]","[0, 7, 0.2, 0.2, 0.4, 0.0, 0.3, 0.1]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.21621621621621623, 0.2682926829268293, 0.3783783783783784, 0.25, 0.16216216216216217, 0.10810810810810811]","[1, 1, 0.2916666666666667, 0.35185185185185186, 0.3541666666666667, 0.25, 0.14583333333333334, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.3611111111111111, 0.41025641025641024, 0.5, 0.5, 0.16666666666666666, 0.16666666666666666]","[1, 3, 0.6, 0.625, 0.6666666666666666, 0.8333333333333334, 0.2, 0.26666666666666666]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.425531914893617, 0.47058823529411764, 0.6595744680851063, 0.5714285714285714, 0.14893617021276595, 0.1276595744680851]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.3333333333333333, 0.39215686274509803, 0.7555555555555555, 0.09090909090909091, 0.2, 0.24444444444444444]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.24242424242424243, 0.35, 0.42424242424242425, 0.2, 0.18181818181818182, 0.21212121212121213]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[1, 6, 0.26666666666666666, 0.3333333333333333, 0.37777777777777777, 0.14285714285714285, 0.2, 0.13333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.3235294117647059, 0.35135135135135137, 0.5588235294117647, 0.38461538461538464, 0.11764705882352941, 0.35294117647058826]"
12,2020-05-20,20200520HHKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 1.0, 1.0, 0.0, 0.5]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.09090909090909091, 0.0, 0.0, 0.1, 0.0]","[0, 7, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.0, 0.2727272727272727, 0.09090909090909091]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.23809523809523808, 0.2826086956521739, 0.4523809523809524, 0.2727272727272727, 0.16666666666666666, 0.16666666666666666]","[1, 1, 0.3018867924528302, 0.36666666666666664, 0.3584905660377358, 0.2857142857142857, 0.1320754716981132, 0.1320754716981132]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.375, 0.4318181818181818, 0.525, 0.5555555555555556, 0.175, 0.175]","[1, 3, 0.5789473684210527, 0.6190476190476191, 0.631578947368421, 0.7142857142857143, 0.3157894736842105, 0.21052631578947367]","[0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0, 0, 0, 0, 0, 0]","[1, 5, 0.42, 0.4727272727272727, 0.64, 0.5, 0.2, 0.14]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.3673469387755102, 0.42857142857142855, 0.8367346938775511, 0.09090909090909091, 0.22448979591836735, 0.2857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2702702702702703, 0.36363636363636365, 0.4594594594594595, 0.18181818181818182, 0.1891891891891892, 0.21621621621621623]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[1, 6, 0.3, 0.35714285714285715, 0.46, 0.1875, 0.2, 0.14]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.3157894736842105, 0.35714285714285715, 0.5263157894736842, 0.375, 0.13157894736842105, 0.34210526315789475]"
13,2020-05-21,20200521HHKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.5, 0.5, 0.8333333333333334, 1.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.08333333333333333, 0.0, 0.0, 0.09090909090909091, 0.0]","[0, 4, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.25, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.21739130434782608, 0.26, 0.41304347826086957, 0.23076923076923078, 0.15217391304347827, 0.15217391304347827]","[1, 1, 0.3103448275862069, 0.36923076923076925, 0.3620689655172414, 0.29411764705882354, 0.13793103448275862, 0.13793103448275862]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[1, 9, 0, 0, 0, 0, 0, 0]","[1, 7, 0.3953488372093023, 0.4375, 0.5813953488372093, 0.5555555555555556, 0.18604651162790697, 0.20930232558139536]","[1, 3, 0.5652173913043478, 0.5769230769230769, 0.6521739130434783, 0.625, 0.2608695652173913, 0.21739130434782608]","[0, 6, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.43636363636363634, 0.48333333333333334, 0.6545454545454545, 0.5454545454545454, 0.2, 0.14545454545454545]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.3584905660377358, 0.4262295081967213, 0.7924528301886793, 0.08333333333333333, 0.24528301886792453, 0.2641509433962264]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.325, 0.3958333333333333, 0.525, 0.18181818181818182, 0.2, 0.225]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[0, -1, 0.3, 0.35714285714285715, 0.46, 0.1875, 0.2, 0.14]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.3170731707317073, 0.3695652173913043, 0.5121951219512195, 0.35294117647058826, 0.12195121951219512, 0.3170731707317073]"
14,2020-05-22,20200522KTLG0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.42857142857142855, 0.42857142857142855, 0.7142857142857143, 0.6666666666666666, 0.14285714285714285, 0.2857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.07142857142857142, 0.0, 0.0, 0.07692307692307693, 0.0]","[1, 9, 0.15384615384615385, 0.15384615384615385, 0.3076923076923077, 0.0, 0.23076923076923078, 0.07692307692307693]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.20833333333333334, 0.2641509433962264, 0.3958333333333333, 0.21428571428571427, 0.16666666666666666, 0.14583333333333334]","[1, 1, 0.31746031746031744, 0.37142857142857144, 0.36507936507936506, 0.2777777777777778, 0.14285714285714285, 0.12698412698412698]","[0, 5, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[1, 8, 0.5, 0.5, 1.25, 0.0, 0.25, 0.25]","[1, 6, 0.391304347826087, 0.43137254901960786, 0.5869565217391305, 0.5555555555555556, 0.17391304347826086, 0.1956521739130435]","[1, 3, 0.5769230769230769, 0.6129032258064516, 0.7307692307692307, 0.6666666666666666, 0.2692307692307692, 0.23076923076923078]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.45614035087719296, 0.5076923076923077, 0.6842105263157895, 0.5454545454545454, 0.19298245614035087, 0.15789473684210525]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3584905660377358, 0.4262295081967213, 0.7924528301886793, 0.08333333333333333, 0.24528301886792453, 0.2641509433962264]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.32558139534883723, 0.40384615384615385, 0.5116279069767442, 0.25, 0.18604651162790697, 0.23255813953488372]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[0, -1, 0.3, 0.35714285714285715, 0.46, 0.1875, 0.2, 0.14]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.29545454545454547, 0.3469387755102041, 0.4772727272727273, 0.3333333333333333, 0.11363636363636363, 0.29545454545454547]"
15,2020-05-23,20200523KTLG0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.375, 0.375, 0.625, 0.5, 0.125, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.0, 0.1875, 0.0, 0.0, 0.15384615384615385, 0.0]","[0, 9, 0.125, 0.17647058823529413, 0.25, 0.0, 0.1875, 0.0625]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.20833333333333334, 0.2641509433962264, 0.3958333333333333, 0.21428571428571427, 0.16666666666666666, 0.14583333333333334]","[1, 1, 0.3088235294117647, 0.36, 0.35294117647058826, 0.2631578947368421, 0.1323529411764706, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[1, 9, 0.25, 0.25, 0.625, 0.0, 0.125, 0.125]","[1, 6, 0.38, 0.41818181818181815, 0.56, 0.6, 0.16, 0.18]","[1, 3, 0.5806451612903226, 0.6111111111111112, 0.7096774193548387, 0.6363636363636364, 0.25806451612903225, 0.22580645161290322]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.45161290322580644, 0.5, 0.6612903225806451, 0.5384615384615384, 0.1935483870967742, 0.14516129032258066]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3584905660377358, 0.4262295081967213, 0.7924528301886793, 0.08333333333333333, 0.24528301886792453, 0.2641509433962264]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.34782608695652173, 0.42857142857142855, 0.5434782608695652, 0.3076923076923077, 0.1956521739130435, 0.2826086956521739]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[0, -1, 0.3, 0.35714285714285715, 0.46, 0.1875, 0.2, 0.14]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.2765957446808511, 0.3269230769230769, 0.44680851063829785, 0.3157894736842105, 0.10638297872340426, 0.2978723404255319]"
16,2020-05-24,20200524KTLG0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.375, 0.375, 0.625, 0.5, 0.125, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.058823529411764705, 0.2, 0.17647058823529413, 0.0, 0.17647058823529413, 0.0]","[0, 5, 0.16666666666666666, 0.21052631578947367, 0.2777777777777778, 0.0, 0.16666666666666666, 0.05555555555555555]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.2, 0.26785714285714285, 0.38, 0.21428571428571427, 0.18, 0.14]","[1, 1, 0.3013698630136986, 0.35, 0.3424657534246575, 0.3, 0.1232876712328767, 0.1232876712328767]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0]","[0, 8, 0.2222222222222222, 0.2222222222222222, 0.5555555555555556, 0.0, 0.1111111111111111, 0.1111111111111111]","[1, 2, 0.37037037037037035, 0.4067796610169492, 0.5370370370370371, 0.6, 0.16666666666666666, 0.16666666666666666]","[1, 3, 0.5428571428571428, 0.575, 0.6571428571428571, 0.5833333333333334, 0.2571428571428571, 0.22857142857142856]","[1, 9, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.45454545454545453, 0.5, 0.7424242424242424, 0.5384615384615384, 0.21212121212121213, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3584905660377358, 0.4262295081967213, 0.7924528301886793, 0.08333333333333333, 0.24528301886792453, 0.2641509433962264]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.36, 0.43333333333333335, 0.54, 0.3076923076923077, 0.2, 0.26]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[0, 9, 0.3333333333333333, 0.38333333333333336, 0.5, 0.2222222222222222, 0.2222222222222222, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.2765957446808511, 0.32075471698113206, 0.44680851063829785, 0.3157894736842105, 0.10638297872340426, 0.3191489361702128]"
17,2020-05-26,20200526HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.2727272727272727, 0.3333333333333333, 0.45454545454545453, 0.5, 0.09090909090909091, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.058823529411764705, 0.2, 0.17647058823529413, 0.0, 0.17647058823529413, 0.0]","[0, 9, 0.16666666666666666, 0.21052631578947367, 0.2777777777777778, 0.0, 0.16666666666666666, 0.05555555555555555]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.19230769230769232, 0.25862068965517243, 0.36538461538461536, 0.2, 0.17307692307692307, 0.1346153846153846]","[1, 1, 0.3116883116883117, 0.35714285714285715, 0.35064935064935066, 0.3333333333333333, 0.12987012987012986, 0.11688311688311688]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0]","[0, 9, 0.2, 0.2, 0.5, 0.0, 0.1, 0.1]","[1, 7, 0.3620689655172414, 0.40625, 0.5344827586206896, 0.5384615384615384, 0.1724137931034483, 0.20689655172413793]","[1, 3, 0.5263157894736842, 0.5681818181818182, 0.631578947368421, 0.5714285714285714, 0.2631578947368421, 0.21052631578947367]","[1, 9, 0.25, 0.25, 0.25, 0.3333333333333333, 0.25, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.4225352112676056, 0.46835443037974683, 0.6901408450704225, 0.4117647058823529, 0.19718309859154928, 0.16901408450704225]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3584905660377358, 0.4262295081967213, 0.7924528301886793, 0.08333333333333333, 0.24528301886792453, 0.2641509433962264]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.35185185185185186, 0.4307692307692308, 0.5185185185185185, 0.3125, 0.18518518518518517, 0.25925925925925924]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[1, 5, 0.3392857142857143, 0.3870967741935484, 0.5, 0.2222222222222222, 0.23214285714285715, 0.16071428571428573]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.28846153846153844, 0.3275862068965517, 0.46153846153846156, 0.3333333333333333, 0.11538461538461539, 0.3076923076923077]"
18,2020-05-27,20200527HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2727272727272727, 0.3333333333333333, 0.45454545454545453, 0.5, 0.09090909090909091, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.058823529411764705, 0.2, 0.17647058823529413, 0.0, 0.17647058823529413, 0.0]","[1, 9, 0.15789473684210525, 0.2, 0.2631578947368421, 0.0, 0.15789473684210525, 0.05263157894736842]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.18181818181818182, 0.2459016393442623, 0.34545454545454546, 0.1875, 0.16363636363636364, 0.12727272727272726]","[1, 1, 0.30864197530864196, 0.3522727272727273, 0.345679012345679, 0.3181818181818182, 0.12345679012345678, 0.1111111111111111]","[0, 9, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, 2, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 0.0, 0.09090909090909091, 0.09090909090909091]","[1, 7, 0.36065573770491804, 0.40298507462686567, 0.5245901639344263, 0.5384615384615384, 0.16393442622950818, 0.19672131147540983]","[1, 3, 0.5, 0.5625, 0.6, 0.5714285714285714, 0.275, 0.2]","[0, -1, 0.25, 0.25, 0.25, 0.3333333333333333, 0.25, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.4266666666666667, 0.46987951807228917, 0.68, 0.4117647058823529, 0.18666666666666668, 0.16]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3584905660377358, 0.4262295081967213, 0.7924528301886793, 0.08333333333333333, 0.24528301886792453, 0.2641509433962264]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.3275862068965517, 0.4057971014492754, 0.4827586206896552, 0.2777777777777778, 0.1724137931034483, 0.2413793103448276]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[1, 5, 0.31666666666666665, 0.36363636363636365, 0.4666666666666667, 0.2, 0.21666666666666667, 0.15]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.2727272727272727, 0.3114754098360656, 0.43636363636363634, 0.3181818181818182, 0.10909090909090909, 0.2909090909090909]"
19,2020-05-28,20200528HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2727272727272727, 0.3333333333333333, 0.45454545454545453, 0.5, 0.09090909090909091, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.05263157894736842, 0.18181818181818182, 0.15789473684210525, 0.0, 0.15789473684210525, 0.0]","[0, 8, 0.14285714285714285, 0.18181818181818182, 0.23809523809523808, 0.0, 0.14285714285714285, 0.047619047619047616]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.18181818181818182, 0.2459016393442623, 0.34545454545454546, 0.1875, 0.16363636363636364, 0.12727272727272726]","[1, 1, 0.3058823529411765, 0.34782608695652173, 0.3411764705882353, 0.3181818181818182, 0.11764705882352941, 0.10588235294117647]","[1, 8, 0.25, 0.25, 0.25, 0.0, 0.25, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 0.0, 0.09090909090909091, 0.09090909090909091]","[1, 2, 0.38461538461538464, 0.4225352112676056, 0.5692307692307692, 0.5714285714285714, 0.16923076923076924, 0.2]","[1, 3, 0.4883720930232558, 0.5576923076923077, 0.5813953488372093, 0.6, 0.27906976744186046, 0.20930232558139536]","[0, -1, 0.25, 0.25, 0.25, 0.3333333333333333, 0.25, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.4230769230769231, 0.47126436781609193, 0.6794871794871795, 0.4117647058823529, 0.20512820512820512, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.3584905660377358, 0.4262295081967213, 0.7924528301886793, 0.08333333333333333, 0.24528301886792453, 0.2641509433962264]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.3114754098360656, 0.3835616438356164, 0.45901639344262296, 0.2631578947368421, 0.16393442622950818, 0.2459016393442623]","[0, -1, 0.28205128205128205, 0.3170731707317073, 0.46153846153846156, 0.125, 0.2564102564102564, 0.10256410256410256]","[1, 5, 0.328125, 0.37142857142857144, 0.46875, 0.18181818181818182, 0.203125, 0.140625]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2631578947368421, 0.30158730158730157, 0.42105263157894735, 0.30434782608695654, 0.10526315789473684, 0.2807017543859649]"
