,date,game_key,박시영,이경우,이지모,김원중,김성호,홍성민,박진형,이성민,박세웅,김유영,최영환,박한길,차재용,배제성,린드블럼,레일리,안태경,박종무,한승혁,김영일,김성재,김남길,강영식,정대현,이명우,이정민,윤길현,노경은,허준혁,손승락,배장호,이재곤,송승준,강승현,진명호
39,2016-05-19,20160519LTSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.6341463414634148, 1.6829268292682928, 1.3, 1.1388888888888888]","[0, 0, 6.067415730337078, 1.7528089887640448, 1.2666666666666666, 3.7083333333333335]","[0, 0, 4.5, 1.6, 1.7222222222222223, 5.0]","[0, 0, 5.0625, 1.78125, 0.8571428571428571, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.207142857142857, 1.392857142857143, 2.4444444444444446, 5.833333333333333]","[1, 0, 2.9805194805194803, 1.344155844155844, 2.933333333333333, 6.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.176470588235294, 1.588235294117647, 1.2, 0.5151515151515151]","[0, 0, 4.5, 2.375, 0.25, 0.5714285714285714]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 1, 3.9193548387096775, 1.3064516129032258, 6.666666666666667, 1.1481481481481481]","[0, 1, 1.894736842105263, 0.9473684210526315, 2.6666666666666665, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.6129032258064515, 1.6451612903225805, 3.0, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
40,2016-05-20,20160520OBLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.6341463414634148, 1.6829268292682928, 1.3, 1.1388888888888888]","[0, 1, 7.363636363636363, 2.0, 0.95, 3.6666666666666665]","[0, 0, 4.5, 1.6, 1.7222222222222223, 5.0]","[0, 1, 4.5, 1.5833333333333333, 1.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.207142857142857, 1.392857142857143, 2.4444444444444446, 5.833333333333333]","[0, 0, 2.9805194805194803, 1.344155844155844, 2.933333333333333, 6.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.176470588235294, 1.588235294117647, 1.2, 0.5151515151515151]","[0, 0, 4.5, 2.375, 0.25, 0.5714285714285714]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 0, 3.9193548387096775, 1.3064516129032258, 6.666666666666667, 1.1481481481481481]","[0, 0, 1.894736842105263, 0.9473684210526315, 2.6666666666666665, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.6129032258064515, 1.6451612903225805, 3.0, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
41,2016-05-21,20160521OBLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 2.6341463414634148, 1.6829268292682928, 1.3, 1.1388888888888888]","[0, 0, 7.363636363636363, 2.0, 0.95, 3.6666666666666665]","[1, 0, 4.172727272727273, 1.5545454545454547, 1.7894736842105263, 5.238095238095238]","[0, 0, 4.5, 1.5833333333333333, 1.0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.207142857142857, 1.392857142857143, 2.4444444444444446, 5.833333333333333]","[0, 0, 2.9805194805194803, 1.344155844155844, 2.933333333333333, 6.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.176470588235294, 1.7647058823529411, 1.2, 0.47222222222222227]","[0, 1, 3.7241379310344827, 2.0689655172413794, 0.625, 0.6444444444444444]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 1, 3.8571428571428568, 1.2857142857142858, 7.0, 1.105263157894737]","[0, 0, 1.894736842105263, 0.9473684210526315, 2.6666666666666665, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.6129032258064515, 1.6451612903225805, 3.0, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
42,2016-05-22,20160522OBLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 0, 0.6666666666666666]","[1, 0, 3.1153846153846154, 1.6153846153846154, 1.3333333333333333, 1.3333333333333333]","[0, 0, 7.363636363636363, 2.0, 0.95, 3.6666666666666665]","[0, 0, 4.172727272727273, 1.5545454545454547, 1.7894736842105263, 5.238095238095238]","[0, 1, 6.585365853658536, 1.829268292682927, 1.4285714285714286, 1.3666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.207142857142857, 1.392857142857143, 2.4444444444444446, 5.833333333333333]","[0, 0, 2.9805194805194803, 1.344155844155844, 2.933333333333333, 6.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.176470588235294, 1.7647058823529411, 1.2, 0.47222222222222227]","[0, 0, 3.7241379310344827, 2.0689655172413794, 0.625, 0.6444444444444444]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 1, 3.5217391304347827, 1.3043478260869565, 5.5, 1.15]","[0, 1, 2.745762711864407, 1.0677966101694916, 3.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.3823529411764706, 1.588235294117647, 3.25, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
43,2016-05-25,20160525LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.1153846153846154, 1.6153846153846154, 1.3333333333333333, 1.3333333333333333]","[0, 0, 7.363636363636363, 2.0, 0.95, 3.6666666666666665]","[0, 0, 4.172727272727273, 1.5545454545454547, 1.7894736842105263, 5.238095238095238]","[0, 0, 6.585365853658536, 1.829268292682927, 1.4285714285714286, 1.3666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.2682926829268295, 1.3353658536585367, 2.6842105263157894, 6.0740740740740735]","[0, 0, 2.9805194805194803, 1.344155844155844, 2.933333333333333, 6.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.571428571428571, 1.5714285714285714, 1.1666666666666667, 0.5384615384615384]","[0, 0, 3.7241379310344827, 2.0689655172413794, 0.625, 0.6444444444444444]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 0, 3.5217391304347827, 1.3043478260869565, 5.5, 1.15]","[0, 1, 3.15, 1.2, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.5, 3.5, 0.9230769230769231]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
44,2016-05-26,20160526LGLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.6666666666666666]","[0, 0, 3.1153846153846154, 1.6153846153846154, 1.3333333333333333, 1.3333333333333333]","[0, 0, 7.363636363636363, 2.0, 0.95, 3.6666666666666665]","[0, 0, 4.172727272727273, 1.5545454545454547, 1.7894736842105263, 5.238095238095238]","[0, 0, 6.585365853658536, 1.829268292682927, 1.4285714285714286, 1.3666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2682926829268295, 1.3353658536585367, 2.6842105263157894, 6.0740740740740735]","[1, 0, 2.777142857142857, 1.2857142857142856, 2.6666666666666665, 6.481481481481482]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.571428571428571, 1.7142857142857142, 1.1666666666666667, 0.5]","[0, 1, 4.21875, 2.0625, 0.75, 0.6666666666666666]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 0, 3.5217391304347827, 1.3043478260869565, 5.5, 1.15]","[0, 1, 3.0, 1.1428571428571428, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.076923076923077, 1.4615384615384615, 3.75, 0.9285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
45,2016-05-27,20160527LTHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 0.8333333333333334]","[0, 0, 3.1153846153846154, 1.6153846153846154, 1.3333333333333333, 1.3333333333333333]","[0, 0, 7.363636363636363, 2.0, 0.95, 3.6666666666666665]","[1, 0, 4.868852459016393, 1.6229508196721312, 1.95, 5.083333333333333]","[0, 1, 6.75, 1.840909090909091, 1.7142857142857142, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2682926829268295, 1.3353658536585367, 2.6842105263157894, 6.0740740740740735]","[0, 0, 2.777142857142857, 1.2857142857142856, 2.6666666666666665, 6.481481481481482]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.571428571428571, 1.7142857142857142, 1.1666666666666667, 0.5]","[0, 1, 3.8571428571428568, 1.885714285714286, 0.75, 0.6862745098039216]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 1, 4.125, 1.3333333333333333, 5.5, 1.1428571428571428]","[0, 0, 3.0, 1.1428571428571428, 3.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.4615384615384615, 3.75, 0.9285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
46,2016-05-28,20160528LTHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5454545454545455, 4.0, 1.222222222222222]","[1, 0, 2.417910447761194, 1.4776119402985075, 1.2, 1.5952380952380951]","[0, 0, 7.363636363636363, 2.0, 0.95, 3.6666666666666665]","[0, 0, 4.868852459016393, 1.6229508196721312, 1.95, 5.083333333333333]","[0, 1, 6.75, 1.8125, 1.8571428571428572, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2682926829268295, 1.3353658536585367, 2.6842105263157894, 6.0740740740740735]","[0, 0, 2.777142857142857, 1.2857142857142856, 2.6666666666666665, 6.481481481481482]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 1.6363636363636365, 1.1666666666666667, 0.4888888888888889]","[0, 0, 3.8571428571428568, 1.885714285714286, 0.75, 0.6862745098039216]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 0, 4.125, 1.3333333333333333, 5.5, 1.1428571428571428]","[0, 1, 2.953125, 1.171875, 3.0, 0.9696969696969696]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.4615384615384615, 3.75, 0.9285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
47,2016-05-29,20160529LTHH0,"[0, 1, 12.461538461538462, 2.076923076923077, 2.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.5454545454545455, 4.0, 1.222222222222222]","[0, 0, 2.417910447761194, 1.4776119402985075, 1.2, 1.5952380952380951]","[1, 0, 7.9714285714285715, 2.0, 1.0, 3.5]","[0, 0, 4.868852459016393, 1.6229508196721312, 1.95, 5.083333333333333]","[0, 0, 6.75, 1.8125, 1.8571428571428572, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2682926829268295, 1.3353658536585367, 2.6842105263157894, 6.0740740740740735]","[0, 0, 2.777142857142857, 1.2857142857142856, 2.6666666666666665, 6.481481481481482]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.6363636363636365, 1.1666666666666667, 0.4888888888888889]","[0, 0, 3.8571428571428568, 1.885714285714286, 0.75, 0.6862745098039216]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 0, 4.125, 1.3333333333333333, 5.5, 1.1428571428571428]","[0, 0, 2.953125, 1.171875, 3.0, 0.9696969696969696]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 1.4615384615384615, 3.75, 0.9285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 1, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
48,2016-05-31,20160531KTLT0,"[0, 0, 12.461538461538462, 2.076923076923077, 2.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.090909090909091, 2.0, 0.9166666666666666]","[0, 0, 2.417910447761194, 1.4776119402985075, 1.2, 1.5952380952380951]","[0, 0, 7.9714285714285715, 2.0, 1.0, 3.5]","[0, 0, 4.868852459016393, 1.6229508196721312, 1.95, 5.083333333333333]","[0, 0, 6.75, 1.8125, 1.8571428571428572, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.816216216216216, 1.3297297297297297, 2.4782608695652173, 6.166666666666666]","[0, 0, 2.777142857142857, 1.2857142857142856, 2.6666666666666665, 6.481481481481482]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.3478260869565215, 1.6956521739130435, 1.1666666666666667, 0.4791666666666667]","[0, 1, 4.973684210526316, 1.973684210526316, 0.6666666666666666, 0.7037037037037037]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 0, 4.125, 1.3333333333333333, 5.5, 1.1428571428571428]","[0, 0, 2.953125, 1.171875, 3.0, 0.9696969696969696]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.9285714285714284, 1.3571428571428572, 4.0, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
49,2016-06-01,20160601KTLT0,"[0, 0, 12.461538461538462, 2.076923076923077, 2.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0714285714285714, 1.6666666666666667, 0.9333333333333333]","[0, 0, 2.417910447761194, 1.4776119402985075, 1.2, 1.5952380952380951]","[0, 0, 7.9714285714285715, 2.0, 1.0, 3.5]","[0, 0, 4.868852459016393, 1.6229508196721312, 1.95, 5.083333333333333]","[0, 0, 6.75, 1.8125, 1.8571428571428572, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.816216216216216, 1.3297297297297297, 2.4782608695652173, 6.166666666666666]","[1, 0, 3.0618556701030926, 1.3144329896907216, 2.380952380952381, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.875, 1.0, 0.47058823529411764]","[0, 1, 4.725, 1.95, 0.6666666666666666, 0.7017543859649124]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 0, 4.125, 1.3333333333333333, 5.5, 1.1428571428571428]","[0, 0, 2.953125, 1.171875, 3.0, 0.9696969696969696]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8, 1.4, 2.6666666666666665, 0.9375]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
50,2016-06-02,20160602KTLT0,"[0, 0, 12.461538461538462, 2.076923076923077, 2.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0714285714285714, 1.6666666666666667, 0.9333333333333333]","[0, 0, 2.417910447761194, 1.4776119402985075, 1.2, 1.5952380952380951]","[0, 0, 7.9714285714285715, 2.0, 1.0, 3.5]","[1, 0, 6.023076923076923, 1.7769230769230768, 1.9545454545454546, 4.814814814814815]","[0, 0, 6.75, 1.8125, 1.8571428571428572, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.816216216216216, 1.3297297297297297, 2.4782608695652173, 6.166666666666666]","[0, 0, 3.0618556701030926, 1.3144329896907216, 2.380952380952381, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.875, 1.0, 0.47058823529411764]","[0, 0, 4.725, 1.95, 0.6666666666666666, 0.7017543859649124]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 1, 4.32, 1.4, 4.6, 1.1363636363636365]","[0, 0, 2.953125, 1.171875, 3.0, 0.9696969696969696]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.4, 2.6666666666666665, 0.9375]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
51,2016-06-03,20160603NCLT0,"[0, 0, 12.461538461538462, 2.076923076923077, 2.0, 4.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.6666666666666665, 0.5, 3.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.8823529411764706, 1.6666666666666667, 0.9444444444444445]","[1, 0, 3.253012048192771, 1.4457831325301205, 1.4375, 1.8444444444444446]","[0, 0, 7.9714285714285715, 2.0, 1.0, 3.5]","[0, 0, 6.023076923076923, 1.7769230769230768, 1.9545454545454546, 4.814814814814815]","[0, 1, 6.622641509433962, 1.6981132075471697, 1.8571428571428572, 1.358974358974359]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.816216216216216, 1.3297297297297297, 2.4782608695652173, 6.166666666666666]","[0, 0, 3.0618556701030926, 1.3144329896907216, 2.380952380952381, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.076923076923077, 1.7307692307692308, 1.2857142857142858, 0.48148148148148145]","[0, 1, 4.609756097560976, 1.975609756097561, 0.6, 0.6833333333333333]","[0, 0, 9.818181818181818, 1.8181818181818181, 1.1428571428571428, 0.5789473684210527]","[0, 0, 4.32, 1.4, 4.6, 1.1363636363636365]","[0, 0, 2.953125, 1.171875, 3.0, 0.9696969696969696]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.4, 2.6666666666666665, 0.9375]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.857142857142857, 1.8571428571428572, 2.272727272727273, 4.2]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]"
